File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Structural Difference_2
Random1_8_3,7796,8,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0981,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_6_6,4424,6,6,7 states,6 symbols,57,5,8,8,6,84,0,0,1.0013,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.3904761904761905,38.46,646.15,
Random1_4_25,7794,4,25,7 states,6 symbols,256,15,0,7,6,50,0,0,0.6924,100,100,100,100,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,333.33,
Random1_1_6,9563,1,6,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1064,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.3904761904761905,38.46,646.15,
Random1_9_100,5936,9,100,7 states,6 symbols,1100,16,0,8,6,34,0,0,14.0427,400,400,240,400,0,160,1.0,0.6,1.0,0.7,0.8,0.8,0.9109730848861284,100.0,212.5,0.9109730848861284
Random1_2_25,1249,2,25,7 states,6 symbols,256,14,5,10,6,21,0,0,0.5092,100,100,3,100,0,97,1.0,0.03,1.0,0.1,0.5,0.5,0.625,73.68,110.53,
Random1_2_3,1249,2,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1001,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_5_100,4343,5,100,7 states,6 symbols,1121,15,0,7,6,16,0,0,24.4736,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,106.67,
Random1_3_100,3319,3,100,7 states,6 symbols,1100,15,0,7,6,0,0,0,20.1556,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,
Random1_2_12,1249,2,12,7 states,6 symbols,92,10,5,8,6,20,0,0,0.1264,48,48,7,48,0,41,1.0,0.15,1.0,0.3,0.6,0.6,0.6515151515151515,66.67,133.33,
Random1_7_50,1335,7,50,7 states,6 symbols,552,15,0,8,6,44,0,0,2.2303,200,200,27,200,0,173,1.0,0.14,1.0,0.2,0.6,0.6,0.9307359307359306,100.0,293.33,
Random1_8_0,7796,8,0,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0969,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_5_50,6644,5,50,7 states,6 symbols,563,15,0,7,6,34,0,0,3.5365,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,226.67,
Random1_1_25,9563,1,25,7 states,6 symbols,249,14,1,8,6,61,0,0,0.651,100,100,8,100,0,92,1.0,0.08,1.0,0.1,0.5,0.5,0.8841991341991342,93.33,406.67,
Random1_1_1,9563,1,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1028,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.3904761904761905,38.46,646.15,
Random1_0_25,8580,0,25,7 states,6 symbols,251,13,2,9,6,56,0,0,0.649,100,100,2,100,0,98,1.0,0.02,1.0,0.0,0.5,0.5,0.7287784679089027,86.67,373.33,
Random1_5_25,6644,5,25,7 states,6 symbols,271,15,0,7,6,54,0,0,0.5916,100,100,100,100,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,360.0,
Random1_3_0,9917,3,0,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1033,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_6_12,4424,6,12,7 states,6 symbols,96,10,2,7,6,29,0,0,1.0351,48,48,2,48,0,46,1.0,0.04,1.0,0.1,0.5,0.5,0.7222222222222222,83.33,241.67,
Random1_1_0,9563,1,0,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0958,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.3904761904761905,38.46,646.15,
Random1_5_0,6644,5,0,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0932,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_9_3,509,9,3,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1027,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_6_50,4424,6,50,7 states,6 symbols,534,14,1,7,6,27,0,0,1.8484,200,200,53,200,0,147,1.0,0.27,1.0,0.4,0.6,0.6,0.8571428571428571,93.33,180.0,
Random1_9_12,509,9,12,7 states,6 symbols,101,10,4,7,6,24,0,0,0.1215,48,48,2,48,0,46,1.0,0.04,1.0,0.1,0.5,0.5,0.7321428571428572,71.43,171.43,
Random1_7_0,1335,7,0,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0991,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_2_6,1249,2,6,7 states,6 symbols,57,5,8,8,6,84,0,0,0.105,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_8_1,7796,8,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.0941,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_4_1,7794,4,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1081,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
Random1_0_1,8580,0,1,7 states,6 symbols,57,5,8,8,6,84,0,0,0.1149,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3904761904761905,38.46,646.15,
