File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random1_2_12,1249,2,12,7 states,6 symbols,92,7,2,33,6,13,0,0,0.1059,8,7,656,9354,SAT,0.2986,48,48,0,48,0,48,0.0,0.0,0.0,0.0,0.5,0.0,0.6190476190476191,77.78,144.44,,8,7,656,9354,SAT,0.3929,48,48,2,48,0,46,1.00,0.04,1.00,0.10,0.50,0.50,0.6190476190476191
Random1_8_6,7796,8,6,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0957,7,6,455,5647,SAT,0.2062,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2022,36,36,3,36,0,33,1.00,0.08,1.00,0.20,0.50,0.50,0.5158730158730158
Random1_7_12,1335,7,12,7 states,6 symbols,95,6,0,41,6,9,0,0,0.0916,7,6,588,7535,SAT,0.1807,48,48,21,47,1,27,0.95,0.44,0.98,0.6,0.7,0.7,0.7222222222222222,100.0,150.0,,7,6,588,7535,SAT,0.2575,48,48,31,47,1,17,0.97,0.65,0.98,0.80,0.80,0.80,0.7222222222222222
Random1_1_6,9563,1,6,7 states,6 symbols,57,3,7,22,6,73,0,0,0.092,7,6,455,5647,SAT,0.1773,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.1971,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_9_25,509,9,25,7 states,6 symbols,260,10,0,127,6,35,0,0,0.5845,8,7,1408,24240,SAT,0.3941,100,100,100,100,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809524,100.0,350.0,,8,7,1408,24240,SAT,0.6988,100,100,100,100,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.9523809523809523
Random1_5_12,6644,5,12,7 states,6 symbols,98,9,3,39,6,66,0,0,0.1451,7,6,574,7883,SAT,0.2234,48,48,1,48,0,47,1.0,0.02,1.0,0.0,0.5,0.5,0.7450980392156863,75.0,550.0,,7,6,574,7883,SAT,0.3028,48,48,8,48,0,40,1.00,0.17,1.00,0.30,0.60,0.60,0.7450980392156863
Random1_6_12,4424,6,12,7 states,6 symbols,96,7,1,28,6,17,0,0,1.0241,7,6,497,6171,SAT,0.1705,48,48,36,45,3,12,0.92,0.75,0.94,0.8,0.8,0.8,0.7738095238095238,87.5,212.5,,7,6,497,6171,SAT,0.2130,48,48,43,42,6,5,0.88,0.90,0.88,0.90,0.90,0.90,0.7738095238095238
Random1_7_0,1335,7,0,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0971,7,6,455,5647,SAT,0.1727,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2311,36,36,3,36,0,33,1.00,0.08,1.00,0.20,0.50,0.50,0.5158730158730158
Random1_3_12,9917,3,12,7 states,6 symbols,98,6,3,48,6,39,0,0,0.1173,8,7,776,11709,SAT,0.2424,48,48,4,48,0,44,1.0,0.08,1.0,0.2,0.5,0.5,0.5238095238095238,66.67,433.33,,8,7,776,11709,SAT,0.3345,48,48,10,48,0,38,1.00,0.21,1.00,0.30,0.60,0.60,0.6190476190476191
Random1_5_25,6644,5,25,7 states,6 symbols,271,7,0,129,6,29,0,0,0.3677,8,7,1424,24170,SAT,0.3481,100,100,100,91,9,0,0.92,1.0,0.91,1.0,1.0,1.0,0.8571428571428571,100.0,414.29,,8,7,1424,24170,SAT,0.5512,100,100,100,89,11,0,0.90,1.00,0.89,0.90,0.90,0.90,0.8571428571428571
Random1_8_0,7796,8,0,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0884,7,6,455,5647,SAT,0.1715,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.1918,36,36,3,36,0,33,1.00,0.08,1.00,0.20,0.50,0.50,0.5158730158730158
Random1_2_25,1249,2,25,7 states,6 symbols,256,5,3,116,6,8,0,0,0.3409,10,9,1770,36033,SAT,5.1404,100,100,3,100,0,97,1.0,0.03,1.0,0.1,0.5,0.5,0.6349206349206349,62.5,100.0,,10,9,1770,36033,SAT,8.1165,100,100,9,100,0,91,1.00,0.09,1.00,0.20,0.50,0.50,0.5502645502645502
Random1_5_1,6644,5,1,7 states,6 symbols,57,3,7,22,6,73,0,0,0.091,7,6,455,5647,SAT,0.1654,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2092,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_7_3,1335,7,3,7 states,6 symbols,57,3,7,22,6,73,0,0,0.1104,7,6,455,5647,SAT,0.1707,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2201,36,36,3,36,0,33,1.00,0.08,1.00,0.20,0.50,0.50,0.5158730158730158
Random1_4_1,7794,4,1,7 states,6 symbols,57,3,7,22,6,73,0,0,0.1866,7,6,455,5647,SAT,0.1933,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2069,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_7_1,1335,7,1,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0977,7,6,455,5647,SAT,0.172,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2173,36,36,3,36,0,33,1.00,0.08,1.00,0.20,0.50,0.50,0.5158730158730158
Random1_8_3,7796,8,3,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0949,7,6,455,5647,SAT,0.2097,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2032,36,36,3,36,0,33,1.00,0.08,1.00,0.20,0.50,0.50,0.5158730158730158
Random1_4_0,7794,4,0,7 states,6 symbols,57,3,7,22,6,73,0,0,0.1825,7,6,455,5647,SAT,0.2756,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2078,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_0_0,8580,0,0,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0874,7,6,455,5647,SAT,0.1642,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2141,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_7_100,143,7,100,7 states,6 symbols,1110,7,0,531,6,5,0,0,15.8001,8,7,4640,87284,SAT,0.9599,400,400,400,397,3,0,0.99,1.0,0.99,1.0,1.0,1.0,,100.0,71.43,,,,,,,,,,,,,,,,,,,,0.9523809523809523
Random1_8_50,7796,8,50,7 states,6 symbols,537,8,0,240,6,21,0,0,1.317,8,7,2312,41725,SAT,0.5726,200,200,200,192,8,0,0.96,1.0,0.96,1.0,1.0,1.0,0.9047619047619048,100.0,262.5,,8,7,2312,41725,SAT,0.7886,200,200,200,189,11,0,0.95,1.00,0.94,1.00,1.00,1.00,0.9047619047619048
Random1_9_50,509,9,50,7 states,6 symbols,552,8,0,276,6,27,0,0,1.3594,8,7,2600,47377,SAT,0.552,200,200,200,194,6,0,0.97,1.0,0.97,1.0,1.0,1.0,0.9523809523809524,100.0,337.5,,8,7,2600,47377,SAT,1.0077,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
