File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
Random1_7_1,1335,7,1,7 states,6 symbols,57,7,3,24,23,602,,,0.2804,7,6,469,5887,SAT,0.2073,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.6706349206349207,70.00
Random1_6_1,4424,6,1,7 states,6 symbols,57,7,3,24,23,602,,,1.6987,7,6,469,5887,SAT,0.2074,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.6706349206349207,70.00
Random1_1_1,9563,1,1,7 states,6 symbols,57,7,3,24,23,602,,,0.2856,7,6,469,5887,SAT,0.2112,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.6706349206349207,70.00
Random1_4_1,7794,4,1,7 states,6 symbols,57,7,3,24,23,602,,,0.4237,7,6,469,5887,SAT,0.2159,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.6706349206349207,70.00
Random1_3_1,9917,3,1,7 states,6 symbols,57,7,3,24,23,602,,,0.2869,7,6,469,5887,SAT,0.2054,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.6706349206349207,70.00
Random1_0_1,8580,0,1,7 states,6 symbols,57,7,3,24,23,602,,,0.3049,7,6,469,5887,SAT,0.2385,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.6706349206349207,70.00
Random1_9_1,509,9,1,7 states,6 symbols,57,7,3,24,23,602,,,0.2768,7,6,469,5887,SAT,0.2093,36,36,1,36,0,35,1.00,0.03,1.00,0.10,0.50,0.50,0.6706349206349207,70.00
Random1_2_1,1249,2,1,7 states,6 symbols,57,7,3,24,23,602,,,0.2987,7,6,469,5887,SAT,0.2092,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.6706349206349207,70.00
Random1_8_1,7796,8,1,7 states,6 symbols,57,7,3,24,23,602,,,0.2701,7,6,469,5887,SAT,0.2027,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.6706349206349207,70.00
Random1_5_1,6644,5,1,7 states,6 symbols,57,7,3,24,23,602,,,0.2768,7,6,469,5887,SAT,0.2094,36,36,1,36,0,35,1.00,0.03,1.00,0.10,0.50,0.50,0.6706349206349207,70.00
