File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
Random1_2_3,1249,2,3,7 states,6 symbols,57,7,3,24,23,602,,,0.2878,7,6,469,5887,SAT,0.2095,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.6706349206349207,70.00
Random1_6_50,4424,6,50,7 states,6 symbols,534,7,1,211,25,43,,,1.8800,8,7,2080,37172,SAT,0.5969,200,200,53,194,6,147,0.90,0.27,0.97,0.40,0.60,0.60,0.8095238095238095,87.50
Random1_2_25,1249,2,25,7 states,6 symbols,256,6,2,121,26,111,,,0.5669,9,8,1584,29674,SAT,0.7069,100,100,45,98,2,55,0.96,0.45,0.98,0.60,0.70,0.70,0.7142857142857142,75.00
Random1_9_25,509,9,25,7 states,6 symbols,260,11,1,120,25,323,,,1.0901,9,8,1575,30123,SAT,0.9756,100,100,39,97,3,61,0.93,0.39,0.97,0.50,0.70,0.70,0.8198757763975155,91.67
Random1_2_6,1249,2,6,7 states,6 symbols,57,7,3,24,23,602,,,0.2951,7,6,469,5887,SAT,0.2114,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.6706349206349207,70.00
Random1_8_50,7796,8,50,7 states,6 symbols,537,12,0,239,26,182,,,5.7189,8,7,2304,42080,SAT,0.4829,200,200,143,197,3,57,0.98,0.71,0.98,0.80,0.80,0.80,0.9047619047619048,100.00
Random1_5_6,6644,5,6,7 states,6 symbols,57,7,3,24,23,602,,,0.2789,7,6,469,5887,SAT,0.2216,36,36,1,36,0,35,1.00,0.03,1.00,0.10,0.50,0.50,0.6706349206349207,70.00
Random1_9_6,509,9,6,7 states,6 symbols,57,7,3,24,23,602,,,0.2817,7,6,469,5887,SAT,0.2099,36,36,1,36,0,35,1.00,0.03,1.00,0.10,0.50,0.50,0.6706349206349207,70.00
Random1_4_0,7794,4,0,7 states,6 symbols,57,7,3,24,23,602,,,0.4767,7,6,469,5887,SAT,0.2212,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.6706349206349207,70.00
Random1_7_1,1335,7,1,7 states,6 symbols,57,7,3,24,23,602,,,0.2804,7,6,469,5887,SAT,0.2073,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.6706349206349207,70.00
