File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Structural Difference_2
Random1_4_100,9610,4,100,7 states,6 symbols,1088,8,0,492,11.9857,8,7,4328,81289,SAT,1.229,400,400,400,400,0,0,1,1,1,1,1,1,,100,0,1
Random1_5_100,4343,5,100,7 states,6 symbols,1121,7,0,494,13.0363,8,7,4344,81475,SAT,1.078,400,400,400,400,0,0,1,1,1,1,1,1,,100,0,1
Random1_1_100,1842,1,100,7 states,6 symbols,1122,8,0,543,12.237,8,7,4736,89296,SAT,1.0077,400,400,331,400,0,69,1,0.83,1,0.9,0.9,0.9,,100,0,0.952380952380952
Random1_3_100,3319,3,100,7 states,6 symbols,1100,9,0,517,10.0418,8,7,4528,85342,SAT,0.6324,400,400,400,400,0,0,1,1,1,1,1,1,,100,0,1
Random1_7_100,143,7,100,7 states,6 symbols,1110,7,0,531,12.2254,8,7,4640,87284,SAT,1.0462,400,400,400,397,3,0,0.99,1,0.99,1,1,1,,100,0,0.952380952380952
Random1_0_100,3646,0,100,7 states,6 symbols,1119,9,0,495,14.9323,8,7,4352,81888,SAT,0.8868,400,400,400,400,0,0,1,1,1,1,1,1,,100,0,1
Random1_8_100,3548,8,100,7 states,6 symbols,1079,8,0,467,12.5455,8,7,4128,77364,SAT,1.3385,400,400,400,400,0,0,1,1,1,1,1,1,,100,0,1
Random1_9_100,5936,9,100,7 states,6 symbols,1100,7,0,528,10.931,8,7,4616,86813,SAT,0.5964,400,400,400,400,0,0,1,1,1,1,1,1,,100,0,1
Random1_2_100,2941,2,100,7 states,6 symbols,1103,8,0,458,12.8424,8,7,4056,75951,SAT,0.9421,400,400,400,400,0,0,1,1,1,1,1,1,,100,0,1
Random1_6_100,5325,6,100,7 states,6 symbols,1095,8,0,437,11.6489,8,7,3888,72654,SAT,1.1766,400,400,400,400,0,0,1,1,1,1,1,1,,100,0,1
