File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Structural Difference_2,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
Random1_7_3,1335,7,3,7 states,6 symbols,57,3,6,24,0.0223,7,6,469,5789,SAT,0.1944,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2560,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_1_3,9563,1,3,7 states,6 symbols,57,3,6,24,0.0234,7,6,469,5789,SAT,0.2024,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2604,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_9_3,509,9,3,7 states,6 symbols,57,3,6,24,0.0223,7,6,469,5789,SAT,0.2171,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2775,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_0_3,8580,0,3,7 states,6 symbols,57,3,6,24,0.0228,7,6,469,5789,SAT,0.2107,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3785,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_8_3,7796,8,3,7 states,6 symbols,57,3,6,24,0.0224,7,6,469,5789,SAT,0.2308,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3901,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_3_3,9917,3,3,7 states,6 symbols,57,3,6,24,0.022,7,6,469,5789,SAT,0.1928,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3662,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_2_3,1249,2,3,7 states,6 symbols,57,3,6,24,0.0221,7,6,469,5789,SAT,0.2007,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3591,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_6_3,4424,6,3,7 states,6 symbols,57,3,6,24,0.0227,7,6,469,5789,SAT,0.7126,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3631,36,36,1,36,0,35,1.00,0.03,1.00,0.10,0.50,0.50
Random1_4_3,7794,4,3,7 states,6 symbols,57,3,6,24,0.0222,7,6,469,5789,SAT,0.214,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3527,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_5_3,6644,5,3,7 states,6 symbols,57,3,6,24,0.0222,7,6,469,5789,SAT,0.1994,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3572,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
