File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Structural Difference_2,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
Random1_4_100,9610,4,100,7 states,6 symbols,1088,8,0,492,11.9857,8,7,4328,81289,SAT,1.229,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
Random1_4_25,7794,4,25,7 states,6 symbols,256,8,0,119,0.3575,8,7,1344,22728,SAT,0.3879,100,100,100,93,7,0,0.93,1.0,0.93,1.0,1.0,1.0,0.9047619047619048,100.0,0.0,0.9047619047619048,,8,7,1344,22728,SAT,0.5012,100,100,100,89,11,0,0.90,1.00,0.89,0.90,0.90,0.90
Random1_2_1,1249,2,1,7 states,6 symbols,57,3,6,24,0.0224,7,6,469,5789,SAT,0.2033,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3183,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_8_25,7796,8,25,7 states,6 symbols,257,9,0,104,0.3068,8,7,1224,20501,SAT,0.302,100,100,100,94,6,0,0.94,1.0,0.94,1.0,1.0,1.0,0.9047619047619048,100.0,0.0,0.9047619047619048,,8,7,1224,20501,SAT,0.4753,100,100,100,96,4,0,0.96,1.00,0.96,1.00,1.00,1.00
Random1_5_100,4343,5,100,7 states,6 symbols,1121,7,0,494,13.0363,8,7,4344,81475,SAT,1.078,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
Random1_3_25,9917,3,25,7 states,6 symbols,250,13,1,100,1.1021,11,10,1837,41039,SAT,35.9245,100,100,19,93,7,81,0.73,0.19,0.93,0.3,0.6,0.6,0.3642857142857142,92.86,0.0,0.36428571428571427,,11,10,1837,41039,SAT,55.1794,100,100,43,91,9,57,0.83,0.43,0.91,0.60,0.70,0.70
Random1_3_50,9917,3,50,7 states,6 symbols,546,11,3,225,4.3382,12,11,3576,94104,SAT,23.1239,200,200,70,191,9,130,0.89,0.35,0.95,0.5,0.7,0.7,0.6233766233766234,78.57,0.0,0.6233766233766234,,12,11,3576,94104,SAT,44.3588,200,200,96,187,13,104,0.88,0.48,0.94,0.60,0.70,0.70
Random1_7_3,1335,7,3,7 states,6 symbols,57,3,6,24,0.0223,7,6,469,5789,SAT,0.1944,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2560,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_0_6,8580,0,6,7 states,6 symbols,57,3,6,24,0.0222,7,6,469,5789,SAT,0.1981,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2443,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_4_12,7794,4,12,7 states,6 symbols,93,5,3,35,0.0439,8,7,672,9540,SAT,0.2967,48,48,1,46,2,47,0.33,0.02,0.96,0.0,0.5,0.5,0.5714285714285714,62.5,0.0,0.5714285714285714,,8,7,672,9540,SAT,0.3871,48,48,3,46,2,45,0.60,0.06,0.96,0.10,0.50,0.50
