File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
Random2_4_600,247,4,600,12 states,12 symbols,12381,37,0,12,12,12,0,0,2657.1152,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,32.43
Random2_7_600,3704,7,600,12 states,12 symbols,12439,37,0,12,12,28,0,0,2973.742,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,75.68
Random2_9_600,4434,9,600,12 states,12 symbols,12446,35,1,12,12,17,0,0,1783.2703,2400,2400,1813,2376,24,587,0.99,0.76,0.99,0.9,0.9,0.9,0.9685283687943262,97.22,47.22
Random2_8_600,893,8,600,12 states,12 symbols,12434,39,3,14,12,15,0,0,3014.2157,2400,2400,1564,2378,22,836,0.99,0.65,0.99,0.8,0.8,0.8,0.8583333333333334,92.86,35.71
Random2_3_600,9338,3,600,12 states,12 symbols,12433,37,0,12,12,0,0,0,3747.4713,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0
Random2_2_600,3141,2,600,12 states,12 symbols,12395,37,0,12,12,18,0,0,2564.1767,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,48.65
Random2_6_600,1612,6,600,12 states,12 symbols,12389,39,1,13,12,40,0,0,3345.5522,2400,2400,2029,2384,16,371,0.99,0.85,0.99,0.9,0.9,0.9,0.921474358974359,97.5,100.0
Random2_0_600,8965,0,600,12 states,12 symbols,12424,37,0,12,12,0,0,0,3035.0234,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0
Random2_1_600,1240,1,600,12 states,12 symbols,12444,37,0,12,12,5,0,0,2642.2086,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,13.51
Random2_5_600,6029,5,600,12 states,12 symbols,12345,37,0,12,12,16,0,0,2924.7057,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,43.24
