File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random2_0_300,9327,0,300,12 states,12 symbols,6257,13,0,2828,12,4,0,0,149.0867,13,12,38805,1211941,SAT,707.6671,1200,1200,548,1192,8,652,0.99,0.46,0.99,0.6,0.7,0.7,0.958333333333333,100,30.77,13,12,38805,1211941,SAT,828.8674,1200,1200,746,1183,17,454,0.98,0.62,0.99,0.8,0.8,0.8,0.979166666666667
Random2_9_300,3485,9,300,12 states,12 symbols,6212,13,0,2896,12,0,0,0,135.565,13,12,39689,1240297,SAT,641.1562,1200,1200,1200,1200,0,0,1,1,1,1,1,1,1,100,0,13,12,39689,1240297,SAT,838.7481,1200,1200,1200,1200,0,0,1,1,1,1,1,1,1
Random2_7_300,216,7,300,12 states,12 symbols,6197,14,0,2812,12,0,0,0,164.5515,13,12,38597,1205607,SAT,678.7409,1200,1200,1200,1200,0,0,1,1,1,1,1,1,1,100,0,13,12,38597,1205607,SAT,833.0954,1200,1200,1200,1200,0,0,1,1,1,1,1,1,1
Random2_4_300,8332,4,300,12 states,12 symbols,6221,12,0,3091,12,0,0,0,127.6473,13,12,42224,1321274,SAT,640.4097,1200,1200,1200,1200,0,0,1,1,1,1,1,1,1,100,0,13,12,42224,1321274,SAT,895.9079,1200,1200,1200,1200,0,0,1,1,1,1,1,1,1
Random2_8_300,7526,8,300,12 states,12 symbols,6209,13,0,2886,12,13,0,0,131.9621,13,12,39559,1236127,SAT,696.9977,1200,1200,1200,1194,6,0,1,1,0.99,1,1,1,0.979166666666667,100,100,13,12,39559,1236127,SAT,840.0012,1200,1200,1200,1189,11,0,0.99,1,0.99,1,1,1,0.979166666666667
Random2_3_300,9989,3,300,12 states,12 symbols,6157,14,0,2751,12,0,0,0,181.7063,13,12,37804,1180170,SAT,715.4634,1200,1200,670,1180,20,530,0.97,0.56,0.98,0.7,0.8,0.8,0.979166666666667,100,0,13,12,37804,1180170,SAT,794.1538,1200,1200,893,1183,17,307,0.98,0.74,0.99,0.8,0.9,0.9,0.958333333333333
Random2_2_300,8690,2,300,12 states,12 symbols,6222,13,0,2926,12,0,0,0,142.7448,13,12,40079,1252807,SAT,598.5473,1200,1200,1200,1185,15,0,0.99,1,0.99,1,1,1,0.979166666666667,100,0,13,12,40079,1252807,SAT,860.1508,1200,1200,1200,1179,21,0,0.98,1,0.98,1,1,1,0.979166666666667
Random2_1_300,2970,1,300,12 states,12 symbols,6208,13,0,2797,12,0,0,0,130.9553,13,12,38402,1199014,SAT,696.7144,1200,1200,1200,1178,22,0,0.98,1,0.98,1,1,1,0.979166666666667,100,0,13,12,38402,1199014,SAT,869.8625,1200,1200,742,1177,23,458,0.97,0.62,0.98,0.8,0.8,0.8,0.958333333333333
Random2_5_300,8737,5,300,12 states,12 symbols,6242,12,0,3095,12,9,0,0,129.9707,13,12,42276,1322942,SAT,717.3968,1200,1200,1200,1200,0,0,1,1,1,1,1,1,1,100,75,13,12,42276,1322942,SAT,830.6665,1200,1200,497,1192,8,703,0.98,0.41,0.99,0.6,0.7,0.7,0.9375
Random2_6_300,1871,6,300,12 states,12 symbols,6249,11,0,3107,12,0,0,0,127.1958,13,12,42432,1327608,SAT,730.0164,1200,1200,1200,1200,0,0,1,1,1,1,1,1,0.989583333333333,100,0,13,12,42432,1327608,SAT,952.9835,1200,1200,1200,1200,0,0,1,1,1,1,1,1,0.989583333333333
