File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random2_0_0,9327,0,0,12 states,12 symbols,274,13,14,129,1.1339,17,16,5678,169972,SAT,1272.9225,96,96,1,96,0,95,1.0,0.01,1.0,0.0,0.5,0.5,0.3326612903225806,48.15,0.0,,17,16,5678,169972,SAT,1532.2724,96,96,6,92,4,90,0.60,0.06,0.96,0.10,0.50,0.50,0.3326612903225806
Random2_9_37,3485,9,37,12 states,12 symbols,562,23,13,260,6.848,18,17,8586,305374,SAT,1598.7235,148,148,1,148,0,147,1.0,0.01,1.0,0.0,0.5,0.5,0.3909313725490196,63.89,0.0,,18,17,8586,305374,SAT,1701.5885,148,148,16,144,4,132,0.80,0.11,0.97,0.20,0.50,0.50,0.3909313725490196
Random2_5_37,8737,5,37,12 states,12 symbols,570,14,24,113,8.8534,18,17,5940,188776,SAT,1257.4111,148,148,0,148,0,148,0.0,0.0,0.0,0.0,0.5,0.0,0.3376225490196078,36.84,0.0,,18,17,5940,188776,SAT,1355.4988,148,148,1,148,0,147,1.00,0.01,1.00,0.00,0.50,0.50,0.31985294117647056
Random2_7_300,216,7,300,12 states,12 symbols,6197,13,0,2962,102.4088,13,12,40547,1267819,SAT,648.1671,1200,1200,1200,1200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,13,12,40547,1267819,SAT,800.5136,1200,1200,1200,1200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random2_0_18,9327,0,18,12 states,12 symbols,274,13,14,129,1.0752,17,16,5678,169972,SAT,1281.4183,96,96,1,96,0,95,1.0,0.01,1.0,0.0,0.5,0.5,0.3326612903225806,48.15,0.0,,17,16,5678,169972,SAT,1482.5456,96,96,6,92,4,90,0.60,0.06,0.96,0.10,0.50,0.50,0.3326612903225806
Random2_5_18,8737,5,18,12 states,12 symbols,274,13,14,129,1.0871,17,16,5678,169972,SAT,1294.3783,96,96,0,96,0,96,0.0,0.0,0.0,0.0,0.5,0.0,0.240255376344086,48.15,0.0,,17,16,5678,169972,SAT,1513.9915,96,96,10,92,4,86,0.71,0.10,0.96,0.20,0.50,0.50,0.3326612903225806
Random2_3_150,9989,3,150,12 states,12 symbols,3010,13,0,1429,32.0477,13,12,20618,628558,SAT,675.2784,600,600,289,594,6,311,0.98,0.48,0.99,0.6,0.7,0.7,0.926418439716312,100.0,0.0,,13,12,20618,628558,SAT,754.1889,600,600,448,595,5,152,0.99,0.75,0.99,0.90,0.90,0.90,0.9583333333333334
Random2_5_300,8737,5,300,12 states,12 symbols,6242,12,0,3095,121.6947,13,12,42276,1322942,SAT,712.2227,1200,1200,1200,1200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,13,12,42276,1322942,SAT,809.0437,1200,1200,497,1192,8,703,0.98,0.41,0.99,0.60,0.70,0.70,0.9375
Random2_5_150,8737,5,150,12 states,12 symbols,3042,13,0,1380,30.8205,13,12,19981,608125,SAT,658.6294,600,600,263,600,0,337,1.0,0.44,1.0,0.6,0.7,0.7,0.9375,100.0,0.0,,13,12,19981,608125,SAT,707.5456,600,600,89,596,4,511,0.96,0.15,0.99,0.30,0.60,0.60,0.8958333333333334
Random2_3_37,9989,3,37,12 states,12 symbols,561,28,6,271,9.1545,20,19,10240,396097,SAT,2247.3112,148,148,0,148,0,148,0.0,0.0,0.0,0.0,0.5,0.0,0.3908991228070175,82.35,0.0,,20,19,10240,396097,SAT,2463.1071,148,148,15,146,2,133,0.88,0.10,0.99,0.20,0.50,0.50,0.39498873873873874
