File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random3_6_150,6253,6,150,10 states,8 symbols,2546,15,0,1091,8,41,0,0,62.1822,11,10,12980,339293,SAT,49.625,600.0,600.0,297.0,583.0,17.0,303.0,0.95,0.49,0.97,0.6,0.7,0.7,0.95,100.0,273.33,,11,10,12980,339293,SAT,47.6719,600,600,297,580,20,303,0.94,0.49,0.97,0.60,0.70,0.70,0.85
Random3_0_150,221,0,150,10 states,8 symbols,2517,15,1,1185,8,81,0,0,60.433,11,10,14014,367547,SAT,47.7529,600.0,600.0,279.0,584.0,16.0,321.0,0.95,0.47,0.97,0.6,0.7,0.7,0.95,93.75,506.25,,11,10,14014,367547,SAT,48.0718,600,600,279,588,12,321,0.96,0.47,0.98,0.60,0.70,0.70,0.975
Random3_9_150,3863,9,150,10 states,8 symbols,2513,15,0,1157,8,74,0,0,60.2616,11,10,13706,358961,SAT,27.8678,600.0,600.0,415.0,568.0,32.0,185.0,0.93,0.69,0.95,0.8,0.8,0.8,0.9,100.0,493.33,,11,10,13706,358961,SAT,43.4852,600,600,332,587,13,268,0.96,0.55,0.98,0.70,0.80,0.80,0.925
Random3_5_150,6267,5,150,10 states,8 symbols,2498,11,0,1247,8,64,0,0,31.6621,11,10,14696,384813,SAT,29.9562,600.0,600.0,270.0,596.0,4.0,330.0,0.99,0.45,0.99,0.6,0.7,0.7,0.95,100.0,581.82,,11,10,14696,384813,SAT,29.8362,600,600,270,596,4,330,0.99,0.45,0.99,0.60,0.70,0.70,0.95
Random3_2_150,1564,2,150,10 states,8 symbols,2493,12,0,1063,8,98,0,0,33.8023,11,10,12672,330223,SAT,47.6861,600.0,600.0,341.0,576.0,24.0,259.0,0.93,0.57,0.96,0.7,0.8,0.8,0.875,100.0,816.67,,11,10,12672,330223,SAT,48.0776,600,600,341,576,24,259,0.93,0.57,0.96,0.70,0.80,0.80,0.875
Random3_4_150,3551,4,150,10 states,8 symbols,2494,13,0,1170,8,38,0,0,54.5206,11,10,13849,362351,SAT,48.6994,600.0,600.0,332.0,597.0,3.0,268.0,0.99,0.55,0.99,0.7,0.8,0.8,0.95,100.0,292.31,,11,10,13849,362351,SAT,48.0773,600,600,332,597,3,268,0.99,0.55,0.99,0.70,0.80,0.80,0.95
Random3_3_150,7968,3,150,10 states,8 symbols,2514,16,0,1171,8,50,0,0,54.6859,11,10,13860,363375,SAT,50.1459,600.0,600.0,362.0,593.0,7.0,238.0,0.98,0.6,0.99,0.7,0.8,0.8,0.95,100.0,312.5,,11,10,13860,363375,SAT,47.9420,600,600,362,593,7,238,0.98,0.60,0.99,0.70,0.80,0.80,0.95
Random3_7_150,9675,7,150,10 states,8 symbols,2517,13,0,1249,8,44,0,0,43.8527,11,10,14718,385893,SAT,42.4225,600.0,600.0,482.0,571.0,29.0,118.0,0.94,0.8,0.95,0.9,0.9,0.9,0.9,100.0,338.46,,11,10,14718,385893,SAT,47.8887,600,600,272,600,0,328,1.00,0.45,1.00,0.60,0.70,0.70,0.9621794871794871
Random3_1_150,9321,1,150,10 states,8 symbols,2508,12,0,1177,8,27,0,0,27.0152,11,10,13926,364195,SAT,47.7465,600.0,600.0,421.0,584.0,16.0,179.0,0.96,0.7,0.97,0.8,0.8,0.8,0.925,100.0,225.0,,11,10,13926,364195,SAT,46.4849,600,600,421,584,16,179,0.96,0.70,0.97,0.80,0.80,0.80,0.925
Random3_8_150,1559,8,150,10 states,8 symbols,2517,13,0,1110,8,77,0,0,43.6642,11,10,13189,344471,SAT,42.4688,600.0,600.0,600.0,585.0,15.0,0.0,0.98,1.0,0.97,1.0,1.0,1.0,0.95,100.0,592.31,,11,10,13189,344471,SAT,40.9646,600,600,600,585,15,0,0.98,1.00,0.97,1.00,1.00,1.00,0.95
