File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random3_6_600,6253,6,600,10 states,8 symbols,10152,15,0,4716,1016.4136,11,10,52855,1419543,SAT,139.7505,2400,2400,2400,2374,26,0,0.99,1.0,0.99,1.0,1.0,1.0,0.975,100.0,0.0,,11,10,52855,1419543,SAT,135.8208,2400,2400,2400,2374,26,0,0.99,1.00,0.99,1.00,1.00,1.00,0.975
Random3_9_600,3863,9,600,10 states,8 symbols,10107,13,0,4797,625.3312,11,10,53746,1443197,SAT,142.1944,2400,2400,2400,2375,25,0,0.99,1.0,0.99,1.0,1.0,1.0,0.975,100.0,0.0,,11,10,53746,1443197,SAT,124.7590,2400,2400,2400,2375,25,0,0.99,1.00,0.99,1.00,1.00,1.00,0.975
Random3_1_600,9321,1,600,10 states,8 symbols,10098,13,0,4629,551.2262,11,10,51898,1393133,SAT,168.662,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,51898,1393133,SAT,151.8359,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random3_5_600,6267,5,600,10 states,8 symbols,10043,13,0,4513,752.298,11,10,50622,1358565,SAT,149.272,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,50622,1358565,SAT,116.6729,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random3_2_600,1564,2,600,10 states,8 symbols,10087,13,0,4584,799.9226,11,10,51403,1379723,SAT,150.0166,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,51403,1379723,SAT,115.2657,2400,2400,2400,2353,47,0,0.98,1.00,0.98,1.00,1.00,1.00,0.95
Random3_7_600,9675,7,600,10 states,8 symbols,10097,13,0,4553,623.5968,11,10,51062,1370485,SAT,115.9749,2400,2400,2400,2372,28,0,0.99,1.0,0.99,1.0,1.0,1.0,0.975,100.0,0.0,,11,10,51062,1370485,SAT,129.7875,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random3_8_600,1559,8,600,10 states,8 symbols,10089,15,0,4936,1080.1238,11,10,55275,1485103,SAT,152.3436,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,55275,1485103,SAT,176.4459,2400,2400,2400,2374,26,0,0.99,1.00,0.99,1.00,1.00,1.00,0.975
Random3_3_600,7968,3,600,10 states,8 symbols,10116,13,0,4486,669.2244,11,10,50325,1350519,SAT,138.684,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,50325,1350519,SAT,143.6700,2400,2400,2400,2377,23,0,0.99,1.00,0.99,1.00,1.00,1.00,0.975
Random3_4_600,3551,4,600,10 states,8 symbols,10035,13,0,4704,711.2681,11,10,52723,1415483,SAT,120.5599,2400,2400,2400,2372,28,0,0.99,1.0,0.99,1.0,1.0,1.0,0.975,100.0,0.0,,11,10,52723,1415483,SAT,113.0854,2400,2400,2400,2372,28,0,0.99,1.00,0.99,1.00,1.00,1.00,0.975
Random3_0_600,221,0,600,10 states,8 symbols,10043,13,0,4443,487.9421,11,10,49852,1337705,SAT,146.216,2400,2400,2400,2379,21,0,0.99,1.0,0.99,1.0,1.0,1.0,0.975,100.0,0.0,,11,10,49852,1337705,SAT,143.6369,2400,2400,2400,2379,21,0,0.99,1.00,0.99,1.00,1.00,1.00,0.975
