File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
Random4_5_18,2866,5,18,9 states,8 symbols,151,17,24,20,8,980,0,0,0.8149,76,76,0,76,0,76,0.00,0.00,0.00,0.00,0.50,0.00,0.28888888888888886,41.46,2390.24
Random4_6_600,6670,6,600,9 states,8 symbols,8921,25,3,10,8,30,0,0,415.3065,2400,2400,2265,2397,3,135,1.00,0.94,1.00,1.00,1.00,1.00,0.9042792792792793,89.29,107.14
Random4_5_37,2866,5,37,9 states,8 symbols,447,17,13,14,8,306,0,0,1.0688,148,148,0,148,0,148,0.00,0.00,0.00,0.00,0.50,0.00,0.38275193798449614,56.67,1020.00
Random4_2_300,8584,2,300,9 states,8 symbols,4520,21,6,10,8,30,0,0,88.7571,1200,1200,1080,1198,2,120,1.00,0.90,1.00,0.90,0.90,0.90,0.8055555555555556,77.78,111.11
Random4_2_1200,8584,2,1200,9 states,8 symbols,17451,24,6,11,8,9,0,0,1493.2088,4800,4800,4304,4794,6,496,1.00,0.90,1.00,0.90,0.90,0.90,0.8180555555555555,80.00,30.00
Random4_0_18,3627,0,18,9 states,8 symbols,151,17,24,20,8,980,0,0,0.8296,76,76,1,76,0,75,1.00,0.01,1.00,0.00,0.50,0.50,0.28888888888888886,41.46,2390.24
Random4_6_1200,6670,6,1200,9 states,8 symbols,17436,25,3,10,8,41,0,0,1613.9310,4800,4800,4463,4790,10,337,1.00,0.93,1.00,1.00,1.00,1.00,0.9042792792792793,89.29,146.43
Random4_6_18,6670,6,18,9 states,8 symbols,151,17,24,20,8,980,0,0,0.8163,76,76,1,75,1,75,0.50,0.01,0.99,0.00,0.50,0.50,0.28888888888888886,41.46,2390.24
Random4_5_0,2866,5,0,9 states,8 symbols,151,17,24,20,8,980,0,0,0.7907,76,76,0,76,0,76,0.00,0.00,0.00,0.00,0.50,0.00,0.28888888888888886,41.46,2390.24
Random4_3_37,6744,3,37,9 states,8 symbols,460,17,12,12,8,131,0,0,0.9615,148,148,16,146,2,132,0.89,0.11,0.99,0.20,0.50,0.50,0.5541666666666667,58.62,451.72
Random4_6_300,6670,6,300,9 states,8 symbols,4564,24,5,12,8,87,0,0,104.6534,1200,1200,1089,1200,0,111,1.00,0.91,1.00,1.00,1.00,1.00,0.8180555555555555,82.76,300.00
Random4_5_1200,2866,5,1200,9 states,8 symbols,17527,23,9,12,8,76,0,0,1490.9844,4800,4800,4242,4776,24,558,0.99,0.88,0.99,0.90,0.90,0.90,0.7655038759689923,71.88,237.50
Random4_6_37,6670,6,37,9 states,8 symbols,450,21,10,14,8,248,0,0,1.4238,148,148,8,144,4,140,0.67,0.05,0.97,0.10,0.50,0.50,0.4545454545454546,67.74,800.00
Random4_4_75,9328,4,75,9 states,8 symbols,1070,18,11,11,8,104,0,0,5.8491,300,300,5,296,4,295,0.56,0.02,0.99,0.00,0.50,0.50,0.5876068376068376,62.07,358.62
Random4_2_600,8584,2,600,9 states,8 symbols,8930,21,6,10,8,18,0,0,385.8047,2400,2400,2127,2397,3,273,1.00,0.89,1.00,0.90,0.90,0.90,0.8055555555555556,77.78,66.67
Random4_1_150,7021,1,150,9 states,8 symbols,2258,19,7,10,8,18,0,0,23.5965,600,600,547,600,0,53,1.00,0.91,1.00,1.00,1.00,1.00,0.7607142857142857,73.08,69.23
Random4_2_18,8584,2,18,9 states,8 symbols,151,17,24,20,8,980,0,0,0.7804,76,76,0,76,0,76,0.00,0.00,0.00,0.00,0.50,0.00,0.28888888888888886,41.46,2390.24
Random4_2_75,8584,2,75,9 states,8 symbols,1066,20,6,10,8,60,0,0,5.2128,300,300,276,289,11,24,0.96,0.92,0.96,0.90,0.90,0.90,0.7325396825396826,76.92,230.77
Random4_7_150,4120,7,150,9 states,8 symbols,2298,22,6,11,8,47,0,0,29.4664,600,600,551,600,0,49,1.00,0.92,1.00,1.00,1.00,1.00,0.7302631578947368,78.57,167.86
Random4_0_600,3627,0,600,9 states,8 symbols,8936,24,6,11,8,19,0,0,372.5352,2400,2400,2183,2387,13,217,0.99,0.91,0.99,0.90,1.00,1.00,0.8180555555555555,80.00,63.33
Random4_5_75,2866,5,75,9 states,8 symbols,1084,16,10,11,8,151,0,0,4.9423,300,300,15,300,0,285,1.00,0.05,1.00,0.10,0.50,0.50,0.6111111111111112,61.54,580.77
Random4_7_300,4120,7,300,9 states,8 symbols,4581,20,6,10,8,24,0,0,98.8369,1200,1200,1086,1198,2,114,1.00,0.91,1.00,0.90,1.00,1.00,0.788888888888889,76.92,92.31
Random4_1_18,7021,1,18,9 states,8 symbols,151,17,24,20,8,980,0,0,0.8058,76,76,0,76,0,76,0.00,0.00,0.00,0.00,0.50,0.00,0.28888888888888886,41.46,2390.24
Random4_1_0,7021,1,0,9 states,8 symbols,151,17,24,20,8,980,0,0,0.7994,76,76,0,76,0,76,0.00,0.00,0.00,0.00,0.50,0.00,0.28888888888888886,41.46,2390.24
Random4_5_150,2866,5,150,9 states,8 symbols,2242,19,6,10,8,29,0,0,21.5725,600,600,536,599,1,64,1.00,0.89,1.00,0.90,0.90,0.90,0.7720588235294117,76.00,116.00
Random4_1_37,7021,1,37,9 states,8 symbols,446,33,20,21,8,1046,0,0,9.5995,148,148,11,144,4,137,0.73,0.07,0.97,0.10,0.50,0.50,0.2695966514459665,62.26,1973.58
Random4_6_75,6670,6,75,9 states,8 symbols,1071,20,6,10,8,37,0,0,5.5048,300,300,269,300,0,31,1.00,0.90,1.00,0.90,0.90,0.90,0.788888888888889,76.92,142.31
Random4_7_37,4120,7,37,9 states,8 symbols,456,16,14,13,8,190,0,0,1.3121,148,148,1,148,0,147,1.00,0.01,1.00,0.00,0.50,0.50,0.5416666666666667,53.33,633.33
Random4_6_0,6670,6,0,9 states,8 symbols,151,17,24,20,8,980,0,0,0.7833,76,76,1,75,1,75,0.50,0.01,0.99,0.00,0.50,0.50,0.28888888888888886,41.46,2390.24
Random4_3_1200,6744,3,1200,9 states,8 symbols,17510,27,7,12,8,90,0,0,1599.1501,4800,4800,4270,4779,21,530,1.00,0.89,1.00,0.90,0.90,0.90,0.775,79.41,264.71
Random4_0_300,3627,0,300,9 states,8 symbols,4547,21,7,11,8,59,0,0,88.6983,1200,1200,1088,1199,1,112,1.00,0.91,1.00,1.00,1.00,1.00,0.7843567251461989,75.00,210.71
Random4_9_600,7153,9,600,9 states,8 symbols,8988,25,5,10,8,63,0,0,404.4764,2400,2400,2253,2394,6,147,1.00,0.94,1.00,1.00,1.00,1.00,0.8814102564102564,83.33,210.00
Random4_3_18,6744,3,18,9 states,8 symbols,151,17,24,20,8,980,0,0,0.8002,76,76,0,76,0,76,0.00,0.00,0.00,0.00,0.50,0.00,0.28888888888888886,41.46,2390.24
Random4_7_0,4120,7,0,9 states,8 symbols,151,17,24,20,8,980,0,0,0.7873,76,76,0,76,0,76,0.00,0.00,0.00,0.00,0.50,0.00,0.28888888888888886,41.46,2390.24
Random4_5_600,2866,5,600,9 states,8 symbols,8952,22,8,12,8,80,0,0,388.9452,2400,2400,2144,2395,5,256,1.00,0.89,1.00,0.90,0.90,0.90,0.782520325203252,73.33,266.67
