File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
TCP_2_600,7072,2,600,14 states,28 symbols,15556,95,63,31,28,4337,82,0,7227.9523,2400,2400,628,2363,37,1772,0.94,0.26,0.98,0.4,0.6,0.6,0.3987841945288753,60.13,2400,2400,1548,2330,70,852,0.96,0.65,0.97,0.80,0.80,0.80
TCP_7_600,657,7,600,14 states,28 symbols,15532,112,70,34,28,12979,82,0,8667.0393,2400,2400,513,2382,18,1887,0.97,0.21,0.99,0.4,0.6,0.6,0.4304817275747508,61.54,2400,2400,1313,2372,28,1087,0.98,0.55,0.99,0.70,0.80,0.80
TCP_3_600,6549,3,600,14 states,28 symbols,15488,112,40,30,28,5602,82,0,8472.5708,2400,2400,608,2374,26,1792,0.96,0.25,0.99,0.4,0.6,0.6,0.4750394632991318,73.68,2400,2400,1508,2353,47,892,0.97,0.63,0.98,0.80,0.80,0.80
TCP_5_600,2094,5,600,14 states,28 symbols,15524,95,69,31,28,5743,81,0,16375.3017,2400,2400,571,2376,24,1829,0.96,0.24,0.99,0.4,0.6,0.6,0.4488586156111929,57.93,2400,2400,1438,2358,42,962,0.97,0.60,0.98,0.70,0.80,0.80
TCP_8_600,7775,8,600,14 states,28 symbols,15476,92,89,36,28,10945,82,0,13086.7308,2400,2400,527,2386,14,1873,0.97,0.22,0.99,0.4,0.6,0.6,0.3590608465608466,50.83,2400,2400,1426,2363,37,974,0.97,0.59,0.98,0.70,0.80,0.80
TCP_9_600,8167,9,600,14 states,28 symbols,15540,107,85,37,28,11030,82,0,9936.8394,2400,2400,421,2379,21,1979,0.95,0.18,0.99,0.3,0.6,0.6,0.3919799498746867,55.73,2400,2400,1268,2353,47,1132,0.96,0.53,0.98,0.70,0.80,0.80
TCP_4_600,3493,4,600,14 states,28 symbols,15527,88,96,34,28,7220,81,0,9007.3571,2400,2400,377,2379,21,2023,0.95,0.16,0.99,0.3,0.6,0.6,0.3819124423963134,47.83,2400,2400,1203,2352,48,1197,0.96,0.50,0.98,0.70,0.70,0.70
TCP_1_600,9057,1,600,14 states,28 symbols,15475,101,93,39,28,12137,82,0,16814.7335,2400,2400,471,2381,19,1929,0.96,0.2,0.99,0.3,0.6,0.6,0.4065886699507389,52.06,2400,2400,1327,2369,31,1073,0.98,0.55,0.99,0.70,0.80,0.80
TCP_6_600,7689,6,600,14 states,28 symbols,15481,90,74,33,28,8009,82,0,8867.6614,2400,2400,527,2383,17,1873,0.97,0.22,0.99,0.4,0.6,0.6,0.4163265306122449,54.88,2400,2400,1344,2360,40,1056,0.97,0.56,0.98,0.70,0.80,0.80
TCP_0_600,9105,0,600,14 states,28 symbols,15537,124,33,28,28,2916,82,0,6924.3082,2400,2400,650,2352,48,1750,0.93,0.27,0.98,0.4,0.6,0.6,0.521972049689441,78.98,2400,2400,1512,2322,78,888,0.95,0.63,0.97,0.80,0.80,0.80
