File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
TCP_1_0,7193,1,0,14 states,28 symbols,625,68,90,41,28,17247,28,0,36.9368,180,180,0,180,0,180,0.0,0.0,0.0,0.0,0.5,0.0,0.1585137085137085,43.04,180,180,9,179,1,171,0.90,0.05,0.99,0.10,0.50,0.50
TCP_2_600,7072,2,600,14 states,28 symbols,15556,95,63,31,28,4337,82,0,7227.9523,2400,2400,628,2363,37,1772,0.94,0.26,0.98,0.4,0.6,0.6,0.3987841945288753,60.13,2400,2400,1548,2330,70,852,0.96,0.65,0.97,0.80,0.80,0.80
TCP_1_37,7193,1,37,14 states,28 symbols,625,68,90,41,28,17247,28,0,32.7091,180,180,0,180,0,180,0.0,0.0,0.0,0.0,0.5,0.0,0.1585137085137085,43.04,180,180,9,179,1,171,0.90,0.05,0.99,0.10,0.50,0.50
TCP_9_300,8167,9,300,14 states,28 symbols,7544,98,61,35,28,9348,78,0,2214.5774,1200,1200,158,1197,3,1042,0.98,0.13,1.0,0.2,0.6,0.6,0.4005366395262768,61.64,1200,1200,520,1181,19,680,0.96,0.43,0.98,0.60,0.70,0.70
TCP_3_9,8776,3,9,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.4026,180,180,0,180,0,180,0.0,0.0,0.0,0.0,0.5,0.0,0.1585137085137085,43.04,180,180,3,177,3,177,0.50,0.02,0.98,0.00,0.50,0.50
TCP_4_0,5450,4,0,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.954,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,11,178,2,169,0.85,0.06,0.99,0.10,0.50,0.50
TCP_7_600,657,7,600,14 states,28 symbols,15532,112,70,34,28,12979,82,0,8667.0393,2400,2400,513,2382,18,1887,0.97,0.21,0.99,0.4,0.6,0.6,0.4304817275747508,61.54,2400,2400,1313,2372,28,1087,0.98,0.55,0.99,0.70,0.80,0.80
TCP_3_600,6549,3,600,14 states,28 symbols,15488,112,40,30,28,5602,82,0,8472.5708,2400,2400,608,2374,26,1792,0.96,0.25,0.99,0.4,0.6,0.6,0.4750394632991318,73.68,2400,2400,1508,2353,47,892,0.97,0.63,0.98,0.80,0.80,0.80
TCP_3_18,8776,3,18,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.4107,180,180,0,180,0,180,0.0,0.0,0.0,0.0,0.5,0.0,0.1585137085137085,43.04,180,180,3,177,3,177,0.50,0.02,0.98,0.00,0.50,0.50
TCP_4_9,5450,4,9,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.3075,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,11,178,2,169,0.85,0.06,0.99,0.10,0.50,0.50
TCP_8_0,6797,8,0,14 states,28 symbols,625,68,90,41,28,17247,28,0,32.6726,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,8,179,1,172,0.89,0.04,0.99,0.10,0.50,0.50
TCP_0_0,9654,0,0,14 states,28 symbols,625,68,90,41,28,17247,28,0,36.6963,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,5,180,0,175,1.00,0.03,1.00,0.10,0.50,0.50
TCP_0_1200,9105,0,1200,14 states,28 symbols,31391,124,48,28,28,5782,82,0,35131.4148,4800,4800,1655,4692,108,3145,0.94,0.34,0.98,0.5,0.7,0.7,0.5232232591529073,72.09,4800,4800,3287,4659,141,1513,0.96,0.68,0.97,0.80,0.80,0.80
TCP_6_4,3237,6,4,14 states,28 symbols,625,68,90,41,28,17247,28,0,35.6364,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,13,180,0,167,1.00,0.07,1.00,0.10,0.50,0.50
TCP_4_300,3493,4,300,14 states,28 symbols,7533,95,73,37,28,13886,76,0,2283.3716,1200,1200,146,1197,3,1054,0.98,0.12,1.0,0.2,0.6,0.6,0.3432773109243697,56.55,1200,1200,490,1186,14,710,0.97,0.41,0.99,0.60,0.70,0.70
TCP_3_1200,6549,3,1200,14 states,28 symbols,31295,131,83,36,28,10677,82,0,42858.042,4800,4800,1322,4735,65,3478,0.95,0.28,0.99,0.4,0.6,0.6,0.479833620195066,61.21,4800,4800,3148,4716,84,1652,0.97,0.66,0.98,0.80,0.80,0.80
TCP_0_300,9105,0,300,14 states,28 symbols,7585,95,68,34,28,7483,77,0,2383.8247,1200,1200,117,1197,3,1083,0.97,0.1,1.0,0.2,0.5,0.5,0.3979591836734694,58.28,1200,1200,495,1190,10,705,0.98,0.41,0.99,0.60,0.70,0.70
TCP_7_75,5209,7,75,14 states,28 symbols,1452,99,98,46,28,19044,38,0,243.4958,300,300,25,296,4,275,0.86,0.08,0.99,0.2,0.5,0.5,0.2085891381345926,50.25,300,300,98,290,10,202,0.91,0.33,0.97,0.50,0.60,0.60
TCP_0_37,9654,0,37,14 states,28 symbols,625,68,90,41,28,17247,28,0,37.0874,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,5,180,0,175,1.00,0.03,1.00,0.10,0.50,0.50
TCP_8_300,7775,8,300,14 states,28 symbols,7504,79,58,29,28,4856,80,0,2168.2133,1200,1200,213,1188,12,987,0.95,0.18,0.99,0.3,0.6,0.6,0.4159090909090909,57.66,1200,1200,605,1173,27,595,0.96,0.50,0.98,0.70,0.70,0.70
TCP_6_0,3237,6,0,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.6756,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,13,180,0,167,1.00,0.07,1.00,0.10,0.50,0.50
TCP_8_37,6797,8,37,14 states,28 symbols,625,68,90,41,28,17247,28,0,32.8837,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,8,179,1,172,0.89,0.04,0.99,0.10,0.50,0.50
TCP_8_1200,7775,8,1200,14 states,28 symbols,31222,124,91,33,28,10721,82,0,51234.258,4800,4800,1491,4713,87,3309,0.94,0.31,0.98,0.5,0.6,0.6,0.4308704453441295,57.67,4800,4800,3250,4683,117,1550,0.97,0.68,0.98,0.80,0.80,0.80
TCP_2_75,6887,2,75,14 states,28 symbols,1446,107,89,48,28,24197,44,0,262.9902,300,300,19,299,1,281,0.95,0.06,1.0,0.1,0.5,0.5,0.1913874191651969,54.59,300,300,78,293,7,222,0.92,0.26,0.98,0.40,0.60,0.60
TCP_6_1200,7689,6,1200,14 states,28 symbols,31298,142,42,32,28,9911,82,0,31350.506,4800,4800,1907,4672,128,2893,0.94,0.4,0.97,0.6,0.7,0.7,0.4953488372093023,77.17,4800,4800,3545,4657,143,1255,0.96,0.74,0.97,0.80,0.90,0.90
TCP_2_0,6887,2,0,14 states,28 symbols,625,68,90,41,28,17247,28,0,32.9539,180,180,2,180,0,178,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,9,180,0,171,1.00,0.05,1.00,0.10,0.50,0.50
TCP_3_4,8776,3,4,14 states,28 symbols,625,68,90,41,28,17247,28,0,32.5254,180,180,0,180,0,180,0.0,0.0,0.0,0.0,0.5,0.0,0.1585137085137085,43.04,180,180,3,177,3,177,0.50,0.02,0.98,0.00,0.50,0.50
TCP_5_600,2094,5,600,14 states,28 symbols,15524,95,69,31,28,5743,81,0,16375.3017,2400,2400,571,2376,24,1829,0.96,0.24,0.99,0.4,0.6,0.6,0.4488586156111929,57.93,2400,2400,1438,2358,42,962,0.97,0.60,0.98,0.70,0.80,0.80
