File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
TCP_3_1200,6549,3,1200,14 states,28 symbols,31295,25,0,7387,28,0,82,0,26454.0086,15,14,135570,4713777,SAT,1449.2463,4800,4800,2726,4729,71,2074,0.97,0.57,0.99,0.7,0.8,0.8,0.7857142857142857,100.0,0.0,,15,14,135570,4713777,SAT,1690.6563,4800,4800,3988,4746,54,812,0.99,0.83,0.99,0.90,0.90,0.90,0.8142857142857143
TCP_8_1200,7775,8,1200,14 states,28 symbols,31222,25,0,7556,28,0,82,0,32387.6209,13,12,116831,3569507,SAT,923.6771,4800,4800,3464,4674,126,1336,0.96,0.72,0.97,0.8,0.8,0.8,0.8666666666666667,100.0,0.0,,13,12,116831,3569507,SAT,1061.5299,4800,4800,4040,4662,138,760,0.97,0.84,0.97,0.90,0.90,0.90,0.8357142857142857
TCP_1_1200,9057,1,1200,14 states,28 symbols,31165,25,0,7719,28,684,82,0,30092.8463,14,13,129640,4242968,SAT,1088.5302,4800,4800,3014,4759,41,1786,0.99,0.63,0.99,0.8,0.8,0.8,0.8233516483516483,100.0,2736.0,,14,13,129640,4242968,SAT,1348.4098,4800,4800,3911,4757,43,889,0.99,0.81,0.99,0.90,0.90,0.90,0.8159340659340659
TCP_9_1200,8167,9,1200,14 states,28 symbols,31357,25,0,7498,28,0,82,0,39714.6249,14,13,126546,4136004,SAT,1180.4123,4800,4800,2805,4720,80,1995,0.97,0.58,0.98,0.7,0.8,0.8,0.7862637362637362,100.0,0.0,,14,13,126546,4136004,SAT,1437.4449,4800,4800,3775,4739,61,1025,0.98,0.79,0.99,0.90,0.90,0.90,0.7776785714285714
TCP_6_1200,7689,6,1200,14 states,28 symbols,31298,18,0,12368,28,0,82,0,18637.8533,14,13,194726,6490340,SAT,1213.0183,4800,4800,2557,4718,82,2243,0.97,0.53,0.98,0.7,0.8,0.8,0.7491758241758242,100.0,0.0,,14,13,194726,6490340,SAT,1535.5832,4800,4800,3987,4703,97,813,0.98,0.83,0.98,0.90,0.90,0.90,0.7745293466223699
TCP_0_1200,9105,0,1200,14 states,28 symbols,31391,18,0,13161,28,0,82,0,16953.1587,14,13,205828,6874152,SAT,1562.2175,4800,4800,2196,4698,102,2604,0.96,0.46,0.98,0.6,0.7,0.7,0.8159340659340659,100.0,0.0,,28,26,435564,26736293,TIMEOUT,6158.8958,,,,,,,,,,-1,,,-1
TCP_4_1200,3493,4,1200,14 states,28 symbols,31339,18,0,12395,28,0,82,0,18661.8188,15,14,210690,7495075,SAT,1657.074,4800,4800,1743,4750,50,3057,0.97,0.36,0.99,0.5,0.7,0.7,0.7142857142857143,100.0,0.0,,28,26,414882,25349833,TIMEOUT,6121.3814,,,,,,,,,,-1,,,-1
TCP_2_1200,7072,2,1200,14 states,28 symbols,31336,18,0,12738,28,0,82,0,17233.0286,14,13,199906,6669420,SAT,1359.2102,4800,4800,3764,4587,213,1036,0.95,0.78,0.96,0.9,0.9,0.9,0.8085164835164835,100.0,0.0,,13,12,184197,5728035,SAT,1129.7174,4800,4800,4369,4714,86,431,0.98,0.91,0.98,0.90,0.90,0.90,0.8589285714285715
TCP_7_1200,657,7,1200,14 states,28 symbols,31295,18,0,12308,28,0,82,0,17607.9865,14,13,193886,6461300,SAT,1352.0709,4800,4800,4257,4768,32,543,0.99,0.89,0.99,0.9,0.9,0.9,0.8381868131868132,100.0,0.0,,15,14,209385,7446703,SAT,1789.9462,4800,4800,4214,4700,100,586,0.98,0.88,0.98,0.90,0.90,0.90,0.8285714285714286
TCP_5_1200,2094,5,1200,14 states,28 symbols,31312,25,0,7910,28,0,82,0,27442.5697,13,12,121433,3717125,SAT,776.0654,4800,4800,4194,4643,157,606,0.96,0.87,0.97,0.9,0.9,0.9,0.8202380952380952,100.0,0.0,,13,12,121433,3717125,SAT,988.5669,4800,4800,4546,4678,122,254,0.97,0.95,0.97,1.00,1.00,1.00,0.781547619047619
