File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
TCP_3_0,8776,3,0,14 states,28 symbols,625,36,25,309,28,3243,28,0,14.7298,14,13,25900,670640,SAT,221.6277,180,180,2,180,0,178,1.0,0.01,1.0,0.0,0.5,0.5,0.2225274725274725,59.02,5316.39,,14,13,25900,670640,SAT,475.9849,180,180,34,172,8,146,0.81,0.19,0.96,0.30,0.60,0.60,0.2766741071428571
TCP_4_4,5450,4,4,14 states,28 symbols,625,36,25,309,28,3243,28,0,14.1453,14,13,25900,670640,SAT,237.908,180,180,8,180,0,172,1.0,0.04,1.0,0.1,0.5,0.5,0.2744505494505495,59.02,5316.39,,14,13,25900,670640,SAT,463.1782,180,180,38,176,4,142,0.90,0.21,0.98,0.30,0.60,0.60,0.2766741071428571
TCP_5_0,1923,5,0,14 states,28 symbols,625,36,25,309,28,3243,28,0,21.2358,14,13,25900,670640,SAT,470.39,180,180,3,178,2,177,0.6,0.02,0.99,0.0,0.5,0.5,0.2521978021978022,59.02,5316.39,,14,13,25900,670640,SAT,454.7056,180,180,29,174,6,151,0.83,0.16,0.97,0.30,0.60,0.60,0.2766741071428571
TCP_1_37,7193,1,37,14 states,28 symbols,625,36,25,309,28,3243,28,0,14.084,14,13,25900,670640,SAT,265.1801,180,180,3,180,0,177,1.0,0.02,1.0,0.0,0.5,0.5,0.2085271317829457,59.02,5316.39,,14,13,25900,670640,SAT,469.5601,180,180,43,174,6,137,0.88,0.24,0.97,0.40,0.60,0.60,0.2766741071428571
TCP_2_18,6887,2,18,14 states,28 symbols,625,36,25,309,28,3243,28,0,14.3341,14,13,25900,670640,SAT,224.4006,180,180,5,178,2,175,0.71,0.03,0.99,0.1,0.5,0.5,0.2744505494505495,59.02,5316.39,,14,13,25900,670640,SAT,472.6612,180,180,36,177,3,144,0.92,0.20,0.98,0.30,0.60,0.60,0.2766741071428571
TCP_5_150,1923,5,150,14 states,28 symbols,3513,21,0,1376,28,39,59,0,129.5519,12,11,32364,828322,SAT,622.6054,600,600,76,594,6,524,0.93,0.13,0.99,0.2,0.6,0.6,0.5139908256880734,100.0,185.71,,12,11,32364,828322,SAT,649.7199,600,600,263,588,12,337,0.96,0.44,0.98,0.60,0.70,0.70,0.5248677248677248
TCP_4_150,5450,4,150,14 states,28 symbols,3510,55,13,1736,28,2174,58,0,1963.0425,19,18,72713,2714527,SAT,2331.6202,600,600,94,587,13,506,0.88,0.16,0.98,0.3,0.6,0.6,0.3190208667736758,80.88,3197.06,,19,18,72713,2714527,SAT,2566.4623,600,600,285,562,38,315,0.88,0.47,0.94,0.60,0.70,0.70,0.32540128410914926
TCP_5_18,1923,5,18,14 states,28 symbols,625,36,25,309,28,3243,28,0,14.1749,14,13,25900,670640,SAT,218.0688,180,180,4,179,1,176,0.8,0.02,0.99,0.0,0.5,0.5,0.2606589147286822,59.02,5316.39,,14,13,25900,670640,SAT,477.2145,180,180,29,174,6,151,0.83,0.16,0.97,0.30,0.60,0.60,0.2766741071428571
TCP_2_37,6887,2,37,14 states,28 symbols,625,36,25,309,28,3243,28,0,13.9807,14,13,25900,670640,SAT,221.1505,180,180,4,179,1,176,0.8,0.02,0.99,0.0,0.5,0.5,0.2606589147286822,59.02,5316.39,,14,13,25900,670640,SAT,469.9365,180,180,36,177,3,144,0.92,0.20,0.98,0.30,0.60,0.60,0.2766741071428571
TCP_1_18,7193,1,18,14 states,28 symbols,625,36,25,309,28,3243,28,0,14.6557,14,13,25900,670640,SAT,234.2419,180,180,6,180,0,174,1.0,0.03,1.0,0.1,0.5,0.5,0.2299450549450549,59.02,5316.39,,14,13,25900,670640,SAT,448.0078,180,180,43,174,6,137,0.88,0.24,0.97,0.40,0.60,0.60,0.2766741071428571
TCP_4_75,5450,4,75,14 states,28 symbols,1455,39,37,721,28,4748,40,0,179.9608,18,17,48636,1591290,SAT,2109.0428,300,300,26,295,5,274,0.84,0.09,0.98,0.2,0.5,0.5,0.267016806722689,51.32,6247.37,,18,17,48636,1591290,SAT,2272.8570,300,300,86,293,7,214,0.92,0.29,0.98,0.40,0.60,0.60,0.24096638655462185
TCP_9_9,250,9,9,14 states,28 symbols,625,36,25,309,28,3243,28,0,13.8148,14,13,25900,670640,SAT,235.9811,180,180,2,180,0,178,1.0,0.01,1.0,0.0,0.5,0.5,0.2447802197802197,59.02,5316.39,,14,13,25900,670640,SAT,495.3623,180,180,35,177,3,145,0.92,0.19,0.98,0.30,0.60,0.60,0.2766741071428571
TCP_1_9,7193,1,9,14 states,28 symbols,625,36,25,309,28,3243,28,0,14.257,14,13,25900,670640,SAT,315.1142,180,180,4,180,0,176,1.0,0.02,1.0,0.0,0.5,0.5,0.2596153846153846,59.02,5316.39,,14,13,25900,670640,SAT,470.8358,180,180,43,174,6,137,0.88,0.24,0.97,0.40,0.60,0.60,0.2766741071428571
TCP_9_4,250,9,4,14 states,28 symbols,625,36,25,309,28,3243,28,0,22.9039,14,13,25900,670640,SAT,245.3073,180,180,3,180,0,177,1.0,0.02,1.0,0.0,0.5,0.5,0.2521978021978022,59.02,5316.39,,14,13,25900,670640,SAT,469.1592,180,180,35,177,3,145,0.92,0.19,0.98,0.30,0.60,0.60,0.2766741071428571
TCP_1_300,9057,1,300,14 states,28 symbols,7513,23,0,2573,28,219,78,0,1054.5192,13,12,52052,1490920,SAT,799.2674,1200,1200,287,1191,9,913,0.97,0.24,0.99,0.4,0.6,0.6,0.5571428571428572,100.0,952.17,,13,12,52052,1490920,SAT,985.7566,1200,1200,817,1157,43,383,0.95,0.68,0.96,0.80,0.80,0.80,0.5907563025210083
TCP_3_1200,6549,3,1200,14 states,28 symbols,31295,25,0,7387,28,0,82,0,26454.0086,15,14,135570,4713777,SAT,1449.2463,4800,4800,2726,4729,71,2074,0.97,0.57,0.99,0.7,0.8,0.8,0.7857142857142857,100.0,0.0,,15,14,135570,4713777,SAT,1690.6563,4800,4800,3988,4746,54,812,0.99,0.83,0.99,0.90,0.90,0.90,0.8142857142857143
TCP_8_1200,7775,8,1200,14 states,28 symbols,31222,25,0,7556,28,0,82,0,32387.6209,13,12,116831,3569507,SAT,923.6771,4800,4800,3464,4674,126,1336,0.96,0.72,0.97,0.8,0.8,0.8,0.8666666666666667,100.0,0.0,,13,12,116831,3569507,SAT,1061.5299,4800,4800,4040,4662,138,760,0.97,0.84,0.97,0.90,0.90,0.90,0.8357142857142857
TCP_5_37,1923,5,37,14 states,28 symbols,625,36,25,309,28,3243,28,0,15.0013,14,13,25900,670640,SAT,228.3455,180,180,3,179,1,177,0.75,0.02,0.99,0.0,0.5,0.5,0.2744505494505495,59.02,5316.39,,14,13,25900,670640,SAT,470.3720,180,180,29,174,6,151,0.83,0.16,0.97,0.30,0.60,0.60,0.2766741071428571
