File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
TCP_8_75,6797,8,75,14 states,28 symbols,1457,211,182,727,263,2084029,,,9503.2717,28,26,99846,4777503,TIMEOUT,5000.6834,,,,,,,,-1,-1,-1,,-1,-1,53.69
TCP_2_9,6887,2,9,14 states,28 symbols,625,89,76,312,243,358530,,,567.5554,28,26,88641,3693929,TIMEOUT,4943.1740,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_9_9,250,9,9,14 states,28 symbols,625,89,76,312,243,358530,,,576.3825,28,26,88641,3693929,TIMEOUT,4926.1000,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_4_75,5450,4,75,14 states,28 symbols,1455,255,142,727,271,2537426,,,12175.2510,28,26,99846,4783335,TIMEOUT,4928.8127,,,,,,,,-1,-1,-1,,-1,-1,64.23
TCP_1_4,7193,1,4,14 states,28 symbols,625,89,76,312,243,358530,,,586.9004,28,26,88641,3693929,TIMEOUT,4925.5927,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_5_18,1923,5,18,14 states,28 symbols,625,89,76,312,243,358530,,,579.7642,28,26,88641,3693929,TIMEOUT,4927.1346,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_7_0,5209,7,0,14 states,28 symbols,625,89,76,312,243,358530,,,581.6690,28,26,88641,3693929,TIMEOUT,4921.3247,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_7_37,5209,7,37,14 states,28 symbols,625,89,76,312,243,358530,,,572.4581,28,26,88641,3693929,TIMEOUT,4928.7609,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_5_150,1923,5,150,14 states,28 symbols,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-2,,-2,-2,0.00
TCP_3_4,8776,3,4,14 states,28 symbols,625,89,76,312,243,358530,,,584.7745,28,26,88641,3693929,TIMEOUT,4886.9589,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_5_0,1923,5,0,14 states,28 symbols,625,89,76,312,243,358530,,,592.7276,28,26,88641,3693929,TIMEOUT,4933.5667,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_1_37,7193,1,37,14 states,28 symbols,625,89,76,312,243,358530,,,586.6852,28,26,88641,3693929,TIMEOUT,4893.8151,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_4_0,5450,4,0,14 states,28 symbols,625,89,76,312,243,358530,,,581.8443,28,26,88641,3693929,TIMEOUT,4935.1235,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_7_9,5209,7,9,14 states,28 symbols,625,89,76,312,243,358530,,,575.2055,28,26,88641,3693929,TIMEOUT,4932.5422,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_4_150,5450,4,150,14 states,28 symbols,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-2,,-2,-2,0.00
TCP_7_150,5209,7,150,14 states,28 symbols,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-2,,-2,-2,0.00
TCP_3_37,8776,3,37,14 states,28 symbols,625,89,76,312,243,358530,,,576.8328,28,26,88641,3693929,TIMEOUT,4934.9282,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_5_9,1923,5,9,14 states,28 symbols,625,89,76,312,243,358530,,,570.7859,27,26,88641,3693929,SAT,4700.4885,180,180,0,180,0,180,0.00,0.00,0.00,0.00,0.50,0.00,0.11538461538461539,53.94
TCP_3_18,8776,3,18,14 states,28 symbols,625,89,76,312,243,358530,,,576.6501,27,26,88641,3693929,SAT,4857.4314,180,180,0,180,0,180,0.00,0.00,0.00,0.00,0.50,0.00,0.13736263736263737,53.94
TCP_6_9,3237,6,9,14 states,28 symbols,625,89,76,312,243,358530,,,584.8954,28,26,88641,3693929,TIMEOUT,4945.9820,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_1_75,7193,1,75,14 states,28 symbols,1450,300,143,725,271,2831442,,,13736.8730,28,26,99792,4846783,TIMEOUT,5089.1601,,,,,,,,-1,-1,-1,,-1,-1,67.72
TCP_2_18,6887,2,18,14 states,28 symbols,625,89,76,312,243,358530,,,570.8519,28,26,88641,3693929,TIMEOUT,4920.3582,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_8_0,6797,8,0,14 states,28 symbols,625,89,76,312,243,358530,,,563.4320,28,26,88641,3693929,TIMEOUT,4920.1744,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_1_9,7193,1,9,14 states,28 symbols,625,89,76,312,243,358530,,,590.6115,28,26,88641,3693929,TIMEOUT,4963.4214,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_9_18,250,9,18,14 states,28 symbols,625,89,76,312,243,358530,,,584.7671,28,26,88641,3693929,TIMEOUT,4923.6628,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_5_4,1923,5,4,14 states,28 symbols,625,89,76,312,243,358530,,,577.3047,28,26,88641,3693929,TIMEOUT,4936.8721,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_0_150,9654,0,150,14 states,28 symbols,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-2,,-2,-2,0.00
TCP_2_75,6887,2,75,14 states,28 symbols,1446,222,168,720,259,1849552,,,8349.3824,28,26,99657,4760459,TIMEOUT,5013.4242,,,,,,,,-1,-1,-1,,-1,-1,56.92
TCP_1_150,7193,1,150,14 states,28 symbols,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-2,,-2,-2,0.00
TCP_8_150,6797,8,150,14 states,28 symbols,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-2,,-2,-2,0.00
TCP_8_4,6797,8,4,14 states,28 symbols,625,89,76,312,243,358530,,,576.3927,28,26,88641,3693929,TIMEOUT,4936.3630,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_0_4,9654,0,4,14 states,28 symbols,625,89,76,312,243,358530,,,589.0956,28,26,88641,3693929,TIMEOUT,4937.6841,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_0_75,9654,0,75,14 states,28 symbols,1449,249,149,723,262,2119200,,,9663.9426,28,26,99738,4777553,TIMEOUT,5009.3577,,,,,,,,-1,-1,-1,,-1,-1,62.56
TCP_0_0,9654,0,0,14 states,28 symbols,625,89,76,312,243,358530,,,590.6213,27,26,88641,3693929,SAT,4744.6642,180,180,0,180,0,180,0.00,0.00,0.00,0.00,0.50,0.00,0.10439560439560439,53.94
TCP_9_0,250,9,0,14 states,28 symbols,625,89,76,312,243,358530,,,602.1067,28,26,88641,3693929,TIMEOUT,4929.7100,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_0_37,9654,0,37,14 states,28 symbols,625,89,76,312,243,358530,,,580.2881,28,26,88641,3693929,TIMEOUT,4940.5728,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_4_4,5450,4,4,14 states,28 symbols,625,89,76,312,243,358530,,,575.4723,28,26,88641,3693929,TIMEOUT,4877.6388,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_4_18,5450,4,18,14 states,28 symbols,625,89,76,312,243,358530,,,599.6760,27,26,88641,3693929,SAT,4811.4753,180,180,0,180,0,180,0.00,0.00,0.00,0.00,0.50,0.00,0.08252895752895753,53.94
TCP_1_18,7193,1,18,14 states,28 symbols,625,89,76,312,243,358530,,,581.9563,28,26,88641,3693929,TIMEOUT,4905.0423,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_8_9,6797,8,9,14 states,28 symbols,625,89,76,312,243,358530,,,577.9182,28,26,88641,3693929,TIMEOUT,4929.1012,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_9_150,250,9,150,14 states,28 symbols,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-2,,-2,-2,0.00
TCP_2_4,6887,2,4,14 states,28 symbols,625,89,76,312,243,358530,,,585.4530,28,26,88641,3693929,TIMEOUT,4932.6049,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_8_37,6797,8,37,14 states,28 symbols,625,89,76,312,243,358530,,,581.9475,28,26,88641,3693929,TIMEOUT,4927.7900,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_4_9,5450,4,9,14 states,28 symbols,625,89,76,312,243,358530,,,572.4064,28,26,88641,3693929,TIMEOUT,4927.1547,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_3_150,8776,3,150,14 states,28 symbols,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-2,,-2,-2,0.00
TCP_7_4,5209,7,4,14 states,28 symbols,625,89,76,312,243,358530,,,576.9720,28,26,88641,3693929,TIMEOUT,4935.1248,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_4_37,5450,4,37,14 states,28 symbols,625,89,76,312,243,358530,,,565.4165,28,26,88641,3693929,TIMEOUT,4932.6435,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_2_0,6887,2,0,14 states,28 symbols,625,89,76,312,243,358530,,,566.0605,28,26,88641,3693929,TIMEOUT,4935.4495,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_3_75,8776,3,75,14 states,28 symbols,1437,266,161,718,263,2747791,,,12314.4723,28,26,99603,4810785,TIMEOUT,5000.2964,,,,,,,,-1,-1,-1,,-1,-1,62.30
TCP_2_150,6887,2,150,14 states,28 symbols,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-2,,-2,-2,0.00
TCP_3_0,8776,3,0,14 states,28 symbols,625,89,76,312,243,358530,,,570.6597,28,26,88641,3693929,TIMEOUT,4942.9258,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_2_37,6887,2,37,14 states,28 symbols,625,89,76,312,243,358530,,,578.6223,28,26,88641,3693929,TIMEOUT,4932.8515,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_6_37,3237,6,37,14 states,28 symbols,625,89,76,312,243,358530,,,569.8207,28,26,88641,3693929,TIMEOUT,4979.0504,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_3_9,8776,3,9,14 states,28 symbols,625,89,76,312,243,358530,,,577.9230,28,26,88641,3693929,TIMEOUT,4896.4179,,,,,,,,-1,-1,-1,,-1,-1,53.94
TCP_0_9,9654,0,9,14 states,28 symbols,625,89,76,312,243,358530,,,583.7650,28,26,88641,3693929,TIMEOUT,4954.4842,,,,,,,,-1,-1,-1,,-1,-1,53.94
