File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
TCP_9_75,250,9,75,14 states,28 symbols,1448,27,13,721,38.2547,15,14,35580,1014231,SAT,1064.2128,300,300,38,296,4,262,0.9,0.13,0.99,0.2,0.6,0.6,0.2428571428571428,67.5,0.0,,15,14,35580,1014231,SAT,1313.8809,300,300,110,285,15,190,0.88,0.37,0.95,0.50,0.70,0.70,0.35125899280575534
TCP_1_75,7193,1,75,14 states,28 symbols,1450,30,29,725,83.2938,18,17,48708,1583482,SAT,2069.1922,300,300,26,299,1,274,0.96,0.09,1.0,0.2,0.5,0.5,0.1432773109243697,50.85,0.0,,18,17,48708,1583482,SAT,2335.7692,300,300,106,282,18,194,0.85,0.35,0.94,0.50,0.60,0.60,0.14978991596638655
TCP_3_0,8776,3,0,14 states,28 symbols,625,20,17,306,4.3022,13,12,22581,550313,SAT,624.9447,180,180,16,176,4,164,0.8,0.09,0.98,0.2,0.5,0.5,0.2798319327731092,54.05,0.0,,13,12,22581,550313,SAT,645.0470,180,180,54,166,14,126,0.79,0.30,0.92,0.40,0.60,0.60,0.2785714285714286
TCP_3_18,8776,3,18,14 states,28 symbols,625,20,17,306,4.2917,13,12,22581,550313,SAT,631.8154,180,180,13,175,5,167,0.72,0.07,0.97,0.1,0.5,0.5,0.2798319327731092,54.05,0.0,,13,12,22581,550313,SAT,632.5855,180,180,54,166,14,126,0.79,0.30,0.92,0.40,0.60,0.60,0.2785714285714286
TCP_1_37,7193,1,37,14 states,28 symbols,625,20,17,306,4.2361,13,12,22581,550313,SAT,622.4948,180,180,15,179,1,165,0.94,0.08,0.99,0.2,0.5,0.5,0.3031512605042017,54.05,0.0,,13,12,22581,550313,SAT,639.7410,180,180,64,172,8,116,0.89,0.36,0.96,0.50,0.70,0.70,0.2785714285714286
TCP_5_75,1923,5,75,14 states,28 symbols,1449,32,14,722,49.2219,16,15,39728,1185992,SAT,1555.9152,300,300,29,295,5,271,0.85,0.1,0.98,0.2,0.5,0.5,0.3314285714285714,69.57,0.0,,17,16,44081,1370827,SAT,1793.6992,300,300,95,287,13,205,0.88,0.32,0.96,0.50,0.60,0.60,0.2619272237196766
TCP_5_9,1923,5,9,14 states,28 symbols,625,20,17,306,4.267,13,12,22581,550313,SAT,624.0753,180,180,12,178,2,168,0.86,0.07,0.99,0.1,0.5,0.5,0.2398809523809524,54.05,0.0,,13,12,22581,550313,SAT,645.8363,180,180,57,173,7,123,0.89,0.32,0.96,0.50,0.60,0.60,0.2785714285714286
TCP_4_9,5450,4,9,14 states,28 symbols,625,20,17,306,4.2437,13,12,22581,550313,SAT,624.4187,180,180,19,176,4,161,0.83,0.11,0.98,0.2,0.5,0.5,0.2476190476190476,54.05,0.0,,13,12,22581,550313,SAT,643.9240,180,180,62,174,6,118,0.91,0.34,0.97,0.50,0.70,0.70,0.2785714285714286
TCP_3_75,8776,3,75,14 states,28 symbols,1437,36,6,712,38.5387,16,15,39568,1177614,SAT,1306.691,300,300,22,296,4,278,0.85,0.07,0.99,0.1,0.5,0.5,0.3038095238095238,85.71,0.0,,16,15,39568,1177614,SAT,1440.9474,300,300,109,280,20,191,0.84,0.36,0.93,0.50,0.60,0.60,0.3186481303930968
TCP_1_600,9057,1,600,14 states,28 symbols,15475,24,0,4921,5510.8341,14,13,90468,2888344,SAT,1172.5473,2400,2400,802,2364,36,1598,0.96,0.33,0.98,0.5,0.7,0.7,0.7000553709856034,100.0,0.0,,14,13,90468,2888344,SAT,1320.2347,2400,2400,1708,2324,76,692,0.96,0.71,0.97,0.80,0.80,0.80,0.7046703296703296
TCP_9_1200,8167,9,1200,14 states,28 symbols,31357,25,0,7498,35983.6757,14,13,126546,4136004,SAT,1311.0338,4800,4800,2866,4672,128,1934,0.96,0.6,0.97,0.7,0.8,0.8,0.8225446428571428,100.0,0.0,,14,13,126546,4136004,SAT,1373.5790,4800,4800,3775,4739,61,1025,0.98,0.79,0.99,0.90,0.90,0.90,0.7776785714285714
TCP_8_9,6797,8,9,14 states,28 symbols,625,20,17,306,4.2425,13,12,22581,550313,SAT,621.162,180,180,17,179,1,163,0.94,0.09,0.99,0.2,0.5,0.5,0.2889225181598063,54.05,0.0,,13,12,22581,550313,SAT,635.6732,180,180,59,171,9,121,0.87,0.33,0.95,0.50,0.60,0.60,0.2785714285714286
TCP_8_75,6797,8,75,14 states,28 symbols,1457,33,27,726,70.469,17,16,44149,1381779,SAT,1743.5269,300,300,26,294,6,274,0.81,0.09,0.98,0.2,0.5,0.5,0.2424954792043399,55.0,0.0,,17,16,44149,1381779,SAT,1952.0776,300,300,118,283,17,182,0.87,0.39,0.94,0.50,0.70,0.70,0.27106227106227104
TCP_4_1200,3493,4,1200,14 states,28 symbols,31339,18,0,12395,19389.5548,15,14,210690,7495075,SAT,1745.8454,4800,4800,2258,4740,60,2542,0.97,0.47,0.99,0.6,0.7,0.7,0.7885405960945528,100.0,0.0,,28,26,414882,25349833,TIMEOUT,6104.8354,,,,,,,,,,,,,0.7885405960945528
TCP_2_75,6887,2,75,14 states,28 symbols,1446,33,20,712,58.2258,17,16,43911,1367723,SAT,1910.1616,300,300,18,298,2,282,0.9,0.06,0.99,0.1,0.5,0.5,0.2410714285714285,62.26,0.0,,18,17,48474,1569168,SAT,2200.0954,300,300,87,291,9,213,0.91,0.29,0.97,0.40,0.60,0.60,0.201890756302521
TCP_5_600,2094,5,600,14 states,28 symbols,15524,25,0,3958,5254.2034,13,12,70057,2069141,SAT,880.926,2400,2400,1119,2375,25,1281,0.98,0.47,0.99,0.6,0.7,0.7,0.7273809523809524,100.0,0.0,,14,13,76986,2422644,SAT,1253.7872,2400,2400,1590,2379,21,810,0.99,0.66,0.99,0.80,0.80,0.80,0.7195054945054945
TCP_1_1200,9057,1,1200,14 states,28 symbols,31165,25,0,7719,29638.486,14,13,129640,4242968,SAT,1112.6405,4800,4800,3491,4777,23,1309,0.99,0.73,1.0,0.8,0.9,0.9,0.8381868131868132,100.0,0.0,,14,13,129640,4242968,SAT,1341.0451,4800,4800,3911,4757,43,889,0.99,0.81,0.99,0.90,0.90,0.90,0.8159340659340659
TCP_4_75,5450,4,75,14 states,28 symbols,1455,33,37,702,125.9609,18,17,48294,1572164,SAT,2144.5847,300,300,27,294,6,273,0.82,0.09,0.98,0.2,0.5,0.5,0.2481403212172442,47.14,0.0,,19,18,53067,1791575,SAT,2536.1077,300,300,98,287,13,202,0.88,0.33,0.96,0.50,0.60,0.60,0.22913008778930566
TCP_8_0,6797,8,0,14 states,28 symbols,625,20,17,306,4.2189,13,12,22581,550313,SAT,635.122,180,180,18,179,1,162,0.95,0.1,0.99,0.2,0.5,0.5,0.2588827838827838,54.05,0.0,,13,12,22581,550313,SAT,640.1394,180,180,59,171,9,121,0.87,0.33,0.95,0.50,0.60,0.60,0.2785714285714286
TCP_8_37,6797,8,37,14 states,28 symbols,625,20,17,306,4.3049,13,12,22581,550313,SAT,618.7098,180,180,16,179,1,164,0.94,0.09,0.99,0.2,0.5,0.5,0.3201573849878935,54.05,0.0,,13,12,22581,550313,SAT,641.4589,180,180,59,171,9,121,0.87,0.33,0.95,0.50,0.60,0.60,0.2785714285714286
TCP_6_75,3237,6,75,14 states,28 symbols,1448,30,25,722,80.5745,16,15,39728,1190600,SAT,1419.4785,300,300,32,297,3,268,0.91,0.11,0.99,0.2,0.5,0.5,0.2216682646212847,54.55,0.0,,16,15,39728,1190600,SAT,1658.5283,300,300,113,281,19,187,0.86,0.38,0.94,0.50,0.70,0.70,0.2640926640926641
