File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
bluetooth_0_4,6773,0,4,15 states,15 symbols,223,17,55,29,15,3013,9,0,3.4117,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_8_150,7258,8,150,15 states,15 symbols,4159,155,189,62,15,5703,53,0,9129.5571,600,600,54,593,7,546,0.89,0.09,0.99,0.2,0.5,0.5,0.3058201058201058,45.06,1657.85,600,600,169,589,11,431,0.94,0.28,0.98,0.40,0.60,0.60
bluetooth_8_1200,3136,8,1200,15 states,15 symbols,33466,91,0,15,15,6,62,0,143891.4848,4800,4800,4800,4800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,6.59,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00
bluetooth_0_9,6773,0,9,15 states,15 symbols,223,17,55,29,15,3013,9,0,3.4052,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_5_37,5571,5,37,15 states,15 symbols,901,51,137,40,15,6977,23,0,120.1285,148,148,0,148,0,148,0.0,0.0,0.0,0.0,0.5,0.0,0.1532200545416404,27.13,3711.17,148,148,4,148,0,144,1.00,0.03,1.00,0.10,0.50,0.50
bluetooth_7_1200,1247,7,1200,15 states,15 symbols,33554,91,0,15,15,10,62,0,158690.5234,4800,4800,4800,4800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,10.99,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00
bluetooth_5_18,5571,5,18,15 states,15 symbols,341,16,83,32,15,5296,12,0,7.5201,72,72,0,72,0,72,0.0,0.0,0.0,0.0,0.5,0.0,0.0602564102564102,16.16,5349.49,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_9_9,2581,9,9,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.1492,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_9_0,2581,9,0,15 states,15 symbols,223,17,55,29,15,3013,9,0,2.1702,56,56,0,56,0,56,0.0,0.0,0.0,0.0,0.5,0.0,0.1464285714285714,23.61,4184.72,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00
bluetooth_1_300,7844,1,300,15 states,15 symbols,8403,114,14,24,15,1051,61,0,2834.3565,1200,1200,900,1200,0,300,1.0,0.75,1.0,0.9,0.9,0.9,0.7750236518448439,89.06,821.09,1200,1200,977,1200,0,223,1.00,0.81,1.00,0.90,0.90,0.90
