File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
bluetooth_6_75,5064,6,75,15 states,15 symbols,2018,113,163,54,15,13093,41,0,1335.2745,300,300,8,300,0,292,1.0,0.03,1.0,0.1,0.5,0.5,0.2072948328267477,40.94,4743.84,300,300,33,299,1,267,0.97,0.11,1.00,0.20,0.60,0.60
bluetooth_5_75,5571,5,75,15 states,15 symbols,1994,142,168,57,15,19233,42,0,1578.0618,300,300,2,300,0,298,1.0,0.01,1.0,0.0,0.5,0.5,0.2022248243559719,45.81,6204.19,300,300,33,298,2,267,0.94,0.11,0.99,0.20,0.60,0.60
bluetooth_2_75,8134,2,75,15 states,15 symbols,2005,119,192,55,15,10371,43,0,1524.8569,300,300,2,300,0,298,1.0,0.01,1.0,0.0,0.5,0.5,0.2084801043705153,38.26,3334.73,300,300,22,299,1,278,0.96,0.07,1.00,0.10,0.50,0.50
bluetooth_3_75,7492,3,75,15 states,15 symbols,2022,106,180,55,15,11418,42,0,1445.8507,300,300,2,300,0,298,1.0,0.01,1.0,0.0,0.5,0.5,0.2119047619047619,37.06,3992.31,300,300,38,296,4,262,0.90,0.13,0.99,0.20,0.60,0.60
bluetooth_1_75,4955,1,75,15 states,15 symbols,2007,109,199,61,15,15678,34,0,1703.8066,300,300,1,300,0,299,1.0,0.0,1.0,0.0,0.5,0.5,0.1713768115942029,35.39,5090.26,300,300,19,300,0,281,1.00,0.06,1.00,0.10,0.50,0.50
bluetooth_0_75,6773,0,75,15 states,15 symbols,2020,131,182,58,15,17413,45,0,1474.8142,300,300,0,300,0,300,0.0,0.0,0.0,0.0,0.5,0.0,0.1467181467181467,41.85,5563.26,300,300,22,299,1,278,0.96,0.07,1.00,0.10,0.50,0.50
bluetooth_7_75,8095,7,75,15 states,15 symbols,1995,108,227,61,15,10985,38,0,1590.736,300,300,1,299,1,299,0.5,0.0,1.0,0.0,0.5,0.5,0.0361663652802893,32.24,3279.1,300,300,21,300,0,279,1.00,0.07,1.00,0.10,0.50,0.50
bluetooth_8_75,7258,8,75,15 states,15 symbols,2019,124,183,60,15,14061,39,0,1609.9157,300,300,1,299,1,299,0.5,0.0,1.0,0.0,0.5,0.5,0.2389929742388759,40.39,4580.13,300,300,30,298,2,270,0.94,0.10,0.99,0.20,0.50,0.50
bluetooth_4_75,8493,4,75,15 states,15 symbols,2019,124,199,59,15,13961,38,0,2316.8226,300,300,2,300,0,298,1.0,0.01,1.0,0.0,0.5,0.5,0.1943757030371203,38.39,4322.29,300,300,26,299,1,274,0.96,0.09,1.00,0.20,0.50,0.50
bluetooth_9_75,2581,9,75,15 states,15 symbols,1993,134,171,56,15,13856,38,0,1361.2579,300,300,0,300,0,300,0.0,0.0,0.0,0.0,0.5,0.0,0.264484126984127,43.93,4542.95,300,300,27,300,0,273,1.00,0.09,1.00,0.20,0.50,0.50
