File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
bluetooth_0_1200,2434,0,1200,15 states,15 symbols,33457,65,2,13038,15,3,62,0,79576.1737,21,20,307776,15329234,SAT,3479.0785,4800.0,4800.0,4711.0,4800.0,0.0,89.0,1.0,0.98,1.0,1.0,1.0,1.0,0.85,97.01,4.48,,21,20,307776,15329234,SAT,3383.3460,4800,4800,4711,4800,0,89,1.00,0.98,1.00,1.00,1.00,1.00,0.85
bluetooth_8_4,7258,8,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4488,13,12,14469,345839,SAT,620.4808,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1392857142857143,18.92,3902.7,,13,12,14469,345839,SAT,623.5695,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_8_37,7258,8,37,15 states,15 symbols,893,25,74,444,15,5049,24,0,64.5335,26,25,63622,2701551,SAT,4192.4433,148.0,148.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.5,0.0,0.16,25.25,5100.0,,26,25,63622,2701551,SAT,4200.3763,148,148,9,148,0,139,1.00,0.06,1.00,0.10,0.50,0.50,0.17523809523809525
bluetooth_7_75,8095,7,75,15 states,15 symbols,1995,50,113,997,15,5232,38,0,843.6104,30,28,93699,4818441,TIMEOUT,5397.0208,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,30.67,3209.82,,30,28,93699,4818441,TIMEOUT,5502.0933,,,,,,,,,,,,,
bluetooth_6_18,5064,6,18,15 states,15 symbols,345,17,50,170,15,4148,12,0,6.4768,19,18,31046,979556,SAT,1961.0813,72.0,72.0,0.0,72.0,0.0,72.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1577142857142857,25.37,6191.04,,19,18,31046,979556,SAT,1925.3702,72,72,2,72,0,70,1.00,0.03,1.00,0.10,0.50,0.50,0.1577142857142857
bluetooth_0_37,6773,0,37,15 states,15 symbols,896,28,86,446,15,5957,26,0,73.0774,27,26,68202,2995090,SAT,4423.7824,148.0,148.0,1.0,148.0,0.0,147.0,1.0,0.01,1.0,0.0,0.5,0.5,0.1504867140226256,24.56,5225.44,,27,26,68202,2995090,SAT,4489.8387,148,148,5,148,0,143,1.00,0.03,1.00,0.10,0.50,0.50,0.15048671402262562
bluetooth_6_300,7297,6,300,15 states,15 symbols,8436,60,5,4204,15,2365,61,0,3309.9603,24,23,145272,7546893,SAT,4129.1849,1200.0,1200.0,979.0,1200.0,0.0,221.0,1.0,0.82,1.0,0.9,0.9,0.9,0.7002070393374742,92.31,3638.46,,24,23,145272,7546893,SAT,4013.1394,1200,1200,1025,1200,0,175,1.00,0.85,1.00,0.90,0.90,0.90,0.7080745341614907
bluetooth_3_18,7492,3,18,15 states,15 symbols,346,13,55,172,15,4128,12,0,7.2661,20,19,34260,1118945,SAT,2059.0185,72.0,72.0,0.0,72.0,0.0,72.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0514721919302071,19.12,6070.59,,20,19,34260,1118945,SAT,2002.5669,72,72,1,72,0,71,1.00,0.01,1.00,0.00,0.50,0.50,0.17894736842105263
bluetooth_5_75,5571,5,75,15 states,15 symbols,1994,55,105,986,15,8253,42,0,925.1466,30,28,93380,4790416,TIMEOUT,5329.1766,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,34.38,5158.12,,30,28,93380,4790416,TIMEOUT,5372.8790,,,,,,,,,,,,,
bluetooth_2_600,9112,2,600,15 states,15 symbols,16795,75,0,8275,15,92,62,0,21816.3372,16,15,152128,5770116,SAT,1605.1412,2400.0,2400.0,2400.0,2400.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,122.67,,16,15,152128,5770116,SAT,1642.6228,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
bluetooth_2_0,8134,2,0,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.7178,13,12,14469,345839,SAT,627.5632,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.15,18.92,3902.7,,13,12,14469,345839,SAT,623.4370,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,0.15
bluetooth_9_150,2581,9,150,15 states,15 symbols,4151,80,23,2074,15,1050,55,0,2092.6962,29,28,124932,6967374,SAT,5296.9122,600.0,600.0,294.0,572.0,28.0,306.0,0.91,0.49,0.95,0.6,0.7,0.7,0.5630952380952381,77.67,1019.42,,29,28,124932,6967374,SAT,5436.5070,600,600,333,566,34,267,0.91,0.56,0.94,0.70,0.70,0.70,0.5850340136054422
bluetooth_3_600,7645,3,600,15 states,15 symbols,16861,78,0,8385,15,15,62,0,25481.9148,16,15,153888,5841282,SAT,1632.0651,2400.0,2400.0,2400.0,2400.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,19.23,,16,15,153888,5841282,SAT,1617.1620,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
bluetooth_6_150,5064,6,150,15 states,15 symbols,4152,93,102,2074,15,4360,57,0,8183.5285,30,28,124932,7122118,TIMEOUT,5546.7559,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,47.69,2235.9,,30,28,124932,7122118,TIMEOUT,5435.7918,,,,,,,,,,,,,
bluetooth_0_75,6773,0,75,15 states,15 symbols,2020,68,96,1010,15,10074,45,0,879.9222,30,28,94076,4847280,TIMEOUT,5441.2018,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,41.46,6142.68,,30,28,94076,4847280,TIMEOUT,5352.8344,,,,,,,,,,,,,
bluetooth_4_150,8493,4,150,15 states,15 symbols,4165,88,118,2081,15,8874,54,0,8323.8581,30,28,125135,7155243,TIMEOUT,5482.8503,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,42.72,4307.77,,30,28,125135,7155243,TIMEOUT,5558.2148,,,,,,,,,,,,,
bluetooth_4_18,8493,4,18,15 states,15 symbols,341,15,41,167,15,2997,13,0,5.4667,16,15,22400,628024,SAT,1258.2976,72.0,72.0,0.0,72.0,0.0,72.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1531135531135531,26.79,5351.79,,16,15,22400,628024,SAT,1256.7852,72,72,2,72,0,70,1.00,0.03,1.00,0.10,0.50,0.50,0.1619047619047619
bluetooth_7_0,8095,7,0,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4538,13,12,14469,345839,SAT,621.0589,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.15,18.92,3902.7,,13,12,14469,345839,SAT,621.6808,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_4_9,8493,4,9,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4799,13,12,14469,345839,SAT,620.0322,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1392857142857143,18.92,3902.7,,13,12,14469,345839,SAT,621.6715,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_1_75,4955,1,75,15 states,15 symbols,2007,49,114,1000,15,9097,34,0,868.5101,30,28,93786,4824708,TIMEOUT,5501.5378,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,30.06,5580.98,,30,28,93786,4824708,TIMEOUT,5405.1081,,,,,,,,,,,,,
