File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
bluetooth_8_4,7258,8,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4488,13,12,14469,345839,SAT,620.4808,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1392857142857143,18.92,3902.7,,13,12,14469,345839,SAT,623.5695,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_2_4,8134,2,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4558,13,12,14469,345839,SAT,626.5851,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1312169312169312,18.92,3902.7,,13,12,14469,345839,SAT,619.5750,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,0.15
bluetooth_9_4,2581,9,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4581,13,12,14469,345839,SAT,617.9832,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1392857142857143,18.92,3902.7,,13,12,14469,345839,SAT,619.9509,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_1_4,4955,1,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.5944,13,12,14469,345839,SAT,630.0472,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1294320137693631,18.92,3902.7,,13,12,14469,345839,SAT,620.5257,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,0.15
bluetooth_7_4,8095,7,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.5168,13,12,14469,345839,SAT,624.4142,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1607142857142857,18.92,3902.7,,13,12,14469,345839,SAT,619.9372,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_0_4,6773,0,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.7581,13,12,14469,345839,SAT,631.5311,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1941480206540447,18.92,3902.7,,13,12,14469,345839,SAT,620.3174,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,0.15
bluetooth_5_4,5571,5,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4473,13,12,14469,345839,SAT,627.2804,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1392857142857143,18.92,3902.7,,13,12,14469,345839,SAT,619.9368,56,56,3,56,0,53,1.00,0.05,1.00,0.10,0.50,0.50,0.15
bluetooth_4_4,8493,4,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4213,13,12,14469,345839,SAT,620.1913,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1392857142857143,18.92,3902.7,,13,12,14469,345839,SAT,619.2710,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_3_4,7492,3,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4188,13,12,14469,345839,SAT,625.5718,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1211309523809524,18.92,3902.7,,13,12,14469,345839,SAT,619.2496,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_6_4,5064,6,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.5487,13,12,14469,345839,SAT,622.0921,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1392857142857143,18.92,3902.7,,13,12,14469,345839,SAT,619.3535,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
