File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
bluetooth_8_18,7258,8,18,15 states,15 symbols,339,21,69,167,113,45724,,,40.8491,22,21,40964,1443723,SAT,3569.1100,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00,,23.33,50804.44
bluetooth_9_9,2581,9,9,15 states,15 symbols,223,11,46,125,98,28192,,,14.7109,15,14,19215,511768,SAT,1588.1633,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_1_150,4955,1,150,15 states,15 symbols,4153,232,409,2076,159,3159891,,,127609.9266,30,28,124990,7876468,TIMEOUT,5676.9612,,,,,,,,-1,-1,-1,,-1,-1,36.19,492962.71
bluetooth_1_9,4955,1,9,15 states,15 symbols,223,11,46,125,98,28192,,,15.3332,15,14,19215,511768,SAT,1565.0728,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_3_150,7492,3,150,15 states,15 symbols,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-2,,-2,-2,0.00,0.00
bluetooth_2_0,8134,2,0,15 states,15 symbols,223,11,46,125,98,28192,,,15.0989,15,14,19215,511768,SAT,1632.1492,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_7_37,8095,7,37,15 states,15 symbols,900,66,156,450,134,303750,,,767.1703,30,28,77836,3774996,TIMEOUT,5510.1943,,,,,,,,-1,-1,-1,,-1,-1,29.73,136824.32
bluetooth_2_9,8134,2,9,15 states,15 symbols,223,11,46,125,98,28192,,,15.4451,15,14,19215,511768,SAT,1577.4631,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_1_75,4955,1,75,15 states,15 symbols,2007,135,269,1003,151,1249010,,,12077.4030,30,28,93873,5236337,TIMEOUT,5567.2345,,,,,,,,-1,-1,-1,,-1,-1,33.42,309160.89
bluetooth_5_150,5571,5,150,15 states,15 symbols,4157,250,400,2075,157,2618661,,,116121.1751,30,28,124961,7889517,TIMEOUT,5656.3292,,,,,,,,-1,-1,-1,,-1,-1,38.46,402870.92
bluetooth_6_150,5064,6,150,15 states,15 symbols,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-2,,-2,-2,0.00,0.00
bluetooth_0_4,6773,0,4,15 states,15 symbols,223,11,46,125,98,28192,,,17.3569,15,14,19215,511768,SAT,1609.1998,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_9_75,2581,9,75,15 states,15 symbols,1993,145,293,993,151,1550823,,,12257.6333,30,28,93583,5272635,TIMEOUT,5520.0184,,,,,,,,-1,-1,-1,,-1,-1,33.11,354069.18
bluetooth_8_4,7258,8,4,15 states,15 symbols,223,11,46,125,98,28192,,,15.3224,16,15,21728,601950,SAT,1867.8819,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_8_9,7258,8,9,15 states,15 symbols,223,11,46,125,98,28192,,,15.4759,15,14,19215,511768,SAT,1535.5181,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_6_9,5064,6,9,15 states,15 symbols,223,11,46,125,98,28192,,,16.3345,16,15,21728,601950,SAT,1856.3872,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_9_150,2581,9,150,15 states,15 symbols,4151,201,434,2070,158,3598138,,,152526.4698,30,28,124816,7853842,TIMEOUT,5758.5573,,,,,,,,-1,-1,-1,,-1,-1,31.65,566635.91
bluetooth_5_4,5571,5,4,15 states,15 symbols,223,11,46,125,98,28192,,,15.1818,15,14,19215,511768,SAT,1619.3274,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_5_9,5571,5,9,15 states,15 symbols,223,11,46,125,98,28192,,,15.0107,15,14,19215,511768,SAT,1578.3663,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_1_18,4955,1,18,15 states,15 symbols,340,28,62,170,114,57788,,,47.3266,23,22,44666,1622606,SAT,3855.1112,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00,,31.11,64208.89
bluetooth_2_18,8134,2,18,15 states,15 symbols,341,18,74,170,111,43226,,,45.0328,20,19,34220,1136163,SAT,2737.8016,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00,,19.57,46984.78
bluetooth_3_37,7492,3,37,15 states,15 symbols,905,61,184,452,129,428654,,,1083.5167,30,28,77894,3817860,TIMEOUT,5428.2597,,,,,,,,-1,-1,-1,,-1,-1,24.90,174960.82
bluetooth_6_0,5064,6,0,15 states,15 symbols,223,11,46,125,98,28192,,,14.8611,15,14,19215,511768,SAT,1606.6394,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_9_0,2581,9,0,15 states,15 symbols,223,11,46,125,98,28192,,,15.1290,15,14,19215,511768,SAT,1579.6912,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_6_37,5064,6,37,15 states,15 symbols,913,84,142,454,135,391406,,,1067.1900,30,28,77952,3790080,TIMEOUT,5370.9757,,,,,,,,-1,-1,-1,,-1,-1,37.17,173188.50
bluetooth_2_150,8134,2,150,15 states,15 symbols,4149,236,399,2074,162,3484152,,,160551.0907,30,28,124932,7862198,TIMEOUT,5673.7361,,,,,,,,-1,-1,-1,,-1,-1,37.17,548685.35
bluetooth_2_4,8134,2,4,15 states,15 symbols,223,11,46,125,98,28192,,,15.9439,15,14,19215,511768,SAT,1662.9827,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_3_0,7492,3,0,15 states,15 symbols,223,11,46,125,98,28192,,,15.1808,15,14,19215,511768,SAT,1570.1254,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_8_0,7258,8,0,15 states,15 symbols,223,11,46,125,98,28192,,,15.4030,15,14,19215,511768,SAT,1763.5856,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_8_37,7258,8,37,15 states,15 symbols,893,66,156,443,134,391638,,,958.9369,30,28,77633,3760373,TIMEOUT,5456.7171,,,,,,,,-1,-1,-1,,-1,-1,29.73,176413.51
bluetooth_9_37,2581,9,37,15 states,15 symbols,894,66,173,445,137,413507,,,1129.1921,30,28,77691,3793145,TIMEOUT,5539.1198,,,,,,,,-1,-1,-1,,-1,-1,27.62,173015.48
bluetooth_6_18,5064,6,18,15 states,15 symbols,345,35,64,172,112,63195,,,56.5558,24,23,48504,1824333,SAT,4305.4739,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00,,35.35,63833.33
bluetooth_3_9,7492,3,9,15 states,15 symbols,223,11,46,125,98,28192,,,14.8430,14,13,16856,430751,SAT,1398.5383,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_8_150,7258,8,150,15 states,15 symbols,4159,203,408,2075,162,2997763,,,120152.1462,30,28,124961,7823919,TIMEOUT,5578.7976,,,,,,,,-1,-1,-1,,-1,-1,33.22,490632.24
bluetooth_6_4,5064,6,4,15 states,15 symbols,223,11,46,125,98,28192,,,14.8773,15,14,19215,511768,SAT,1672.9125,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_7_150,8095,7,150,15 states,15 symbols,4158,186,450,2077,160,3740219,,,145947.0656,30,28,125019,7870147,TIMEOUT,5688.7943,,,,,,,,-1,-1,-1,,-1,-1,29.25,588084.75
bluetooth_5_75,5571,5,75,15 states,15 symbols,1994,134,270,995,150,1486630,,,11147.2976,30,28,93641,5219625,TIMEOUT,5444.7862,,,,,,,,-1,-1,-1,,-1,-1,33.17,367977.72
bluetooth_7_9,8095,7,9,15 states,15 symbols,223,11,46,125,98,28192,,,15.4528,15,14,19215,511768,SAT,1573.0738,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_7_75,8095,7,75,15 states,15 symbols,1995,119,285,996,149,1114273,,,9097.3817,30,28,93670,5221714,TIMEOUT,5496.5457,,,,,,,,-1,-1,-1,,-1,-1,29.46,275810.15
bluetooth_8_75,7258,8,75,15 states,15 symbols,2019,110,296,1008,154,1408140,,,11123.5479,30,28,94018,5250146,TIMEOUT,5542.6133,,,,,,,,-1,-1,-1,,-1,-1,27.09,346832.51
bluetooth_4_9,8493,4,9,15 states,15 symbols,223,11,46,125,98,28192,,,15.2328,14,13,16856,430751,SAT,1500.4365,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_3_4,7492,3,4,15 states,15 symbols,223,11,46,125,98,28192,,,14.7988,15,14,19215,511768,SAT,1617.5313,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_2_37,8134,2,37,15 states,15 symbols,891,61,148,443,135,278093,,,737.8415,30,28,77633,3738507,TIMEOUT,5401.5562,,,,,,,,-1,-1,-1,,-1,-1,29.19,133058.85
bluetooth_7_4,8095,7,4,15 states,15 symbols,223,11,46,125,98,28192,,,16.3484,15,14,19215,511768,SAT,1633.7012,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_1_37,4955,1,37,15 states,15 symbols,904,58,173,450,135,369854,,,931.6262,30,28,77836,3790134,TIMEOUT,5362.3041,,,,,,,,-1,-1,-1,,-1,-1,25.11,160109.96
bluetooth_5_37,5571,5,37,15 states,15 symbols,901,80,151,450,136,441374,,,1123.8620,30,28,77836,3790134,TIMEOUT,5343.4074,,,,,,,,-1,-1,-1,,-1,-1,34.63,191071.00
bluetooth_7_18,8095,7,18,15 states,15 symbols,342,35,67,178,114,70600,,,62.3883,25,24,52600,2040696,SAT,4181.8205,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00,,34.31,69215.69
bluetooth_4_75,8493,4,75,15 states,15 symbols,2019,149,240,1008,149,1124301,,,9413.6029,30,28,94018,5221552,TIMEOUT,5550.3872,,,,,,,,-1,-1,-1,,-1,-1,38.30,289023.39
bluetooth_4_4,8493,4,4,15 states,15 symbols,223,11,46,125,98,28192,,,15.9955,15,14,19215,511768,SAT,1603.4020,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_3_75,7492,3,75,15 states,15 symbols,2022,161,295,1010,148,1340130,,,10857.1661,30,28,94076,5338424,TIMEOUT,5470.8628,,,,,,,,-1,-1,-1,,-1,-1,35.31,293888.16
bluetooth_4_150,8493,4,150,15 states,15 symbols,4165,261,359,2082,158,3625782,,,139743.8016,30,28,125164,7853680,TIMEOUT,5575.5764,,,,,,,,-1,-1,-1,,-1,-1,42.10,584803.55
