File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
bluetooth_0_4,6773,0,4,15 states,15 symbols,223,11,46,125,98,28192,,,17.3569,15,14,19215,511768,SAT,1609.1998,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_8_4,7258,8,4,15 states,15 symbols,223,11,46,125,98,28192,,,15.3224,16,15,21728,601950,SAT,1867.8819,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_5_4,5571,5,4,15 states,15 symbols,223,11,46,125,98,28192,,,15.1818,15,14,19215,511768,SAT,1619.3274,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_2_4,8134,2,4,15 states,15 symbols,223,11,46,125,98,28192,,,15.9439,15,14,19215,511768,SAT,1662.9827,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_6_4,5064,6,4,15 states,15 symbols,223,11,46,125,98,28192,,,14.8773,15,14,19215,511768,SAT,1672.9125,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_3_4,7492,3,4,15 states,15 symbols,223,11,46,125,98,28192,,,14.7988,15,14,19215,511768,SAT,1617.5313,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_7_4,8095,7,4,15 states,15 symbols,223,11,46,125,98,28192,,,16.3484,15,14,19215,511768,SAT,1633.7012,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_4_4,8493,4,4,15 states,15 symbols,223,11,46,125,98,28192,,,15.9955,15,14,19215,511768,SAT,1603.4020,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_1_4,4955,1,4,15 states,15 symbols,223,11,46,125,98,28192,,,15.4001,14,13,16856,430751,SAT,1507.8598,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_9_4,2581,9,4,15 states,15 symbols,223,11,46,125,98,28192,,,14.6985,15,14,19215,511768,SAT,1579.0795,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
