File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
bluetooth_6_300,7297,6,300,15 states,15 symbols,8436,87,77,3695,20959.0991,30,28,171941,10456245,TIMEOUT,5703.5442,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,53.05,0.0,,30,28,171941,10456245,TIMEOUT,5636.5153,,,,,,,,,,,,,
bluetooth_5_150,5571,5,150,15 states,15 symbols,4157,79,190,2078,10417.3361,30,28,125048,7254942,TIMEOUT,5451.3894,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,29.37,0.0,,30,28,125048,7254942,TIMEOUT,5513.5380,,,,,,,,,,,,,
bluetooth_9_600,509,9,600,15 states,15 symbols,16843,78,0,8337,29085.423,16,15,153120,5810898,SAT,1665.6216,2400.0,2400.0,2400.0,2400.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,16,15,153120,5810898,SAT,1607.6537,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
bluetooth_9_300,509,9,300,15 states,15 symbols,8431,86,8,4104,7779.0473,21,20,120162,5588186,SAT,3022.0637,1200.0,1200.0,1120.0,1200.0,0.0,80.0,1.0,0.93,1.0,1.0,1.0,1.0,0.8416666666666667,91.49,0.0,,21,20,120162,5588186,SAT,3050.9342,1200,1200,1123,1200,0,77,1.00,0.94,1.00,1.00,1.00,1.00,0.8416666666666667
bluetooth_3_75,7492,3,75,15 states,15 symbols,2022,44,101,1009,696.3508,30,28,94047,4813233,TIMEOUT,5623.0528,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,30.34,0.0,,30,28,94047,4813233,TIMEOUT,5545.8773,,,,,,,,,,,,,
bluetooth_3_9,7492,3,9,15 states,15 symbols,223,2,30,110,0.5653,12,11,12420,281839,SAT,25.7659,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0787878787878788,6.25,0.0,,12,11,12420,281839,SAT,31.3345,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,0.06753246753246753
bluetooth_2_1200,9112,2,1200,15 states,15 symbols,33482,68,0,12308,111167.6757,16,15,216656,8319421,SAT,1647.1325,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,16,15,216656,8319421,SAT,1797.6496,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
bluetooth_0_37,6773,0,37,15 states,15 symbols,896,14,80,441,47.8903,26,25,63544,2689757,SAT,4169.8574,148.0,148.0,1.0,148.0,0.0,147.0,1.0,0.01,1.0,0.0,0.5,0.5,0.1453894852738783,14.89,0.0,,26,25,63544,2689757,SAT,4228.8687,148,148,3,148,0,145,1.00,0.02,1.00,0.00,0.50,0.50,0.17561576354679803
bluetooth_4_4,8493,4,4,15 states,15 symbols,223,2,30,110,0.572,12,11,12420,281839,SAT,30.7102,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1238095238095238,6.25,0.0,,12,11,12420,281839,SAT,31.6955,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.06753246753246753
bluetooth_7_18,8095,7,18,15 states,15 symbols,342,9,33,169,2.1913,15,14,19875,529482,SAT,639.1487,72.0,72.0,0.0,72.0,0.0,72.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0789115646258503,21.43,0.0,,15,14,19875,529482,SAT,603.2844,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00,0.13883161512027492
bluetooth_6_18,5064,6,18,15 states,15 symbols,345,7,42,167,2.5662,15,14,19845,531520,SAT,778.0505,72.0,72.0,0.0,72.0,0.0,72.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1282312925170068,14.29,0.0,,15,14,19845,531520,SAT,799.1755,72,72,1,72,0,71,1.00,0.01,1.00,0.00,0.50,0.50,0.11836734693877551
bluetooth_9_75,2581,9,75,15 states,15 symbols,1993,31,142,994,815.985,30,28,93612,4828994,TIMEOUT,5412.1747,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,17.92,0.0,,30,28,93612,4828994,TIMEOUT,5463.0501,,,,,,,,,,,,,
bluetooth_2_150,8134,2,150,15 states,15 symbols,4149,92,171,2068,12178.54,30,28,124758,7223960,TIMEOUT,5440.474,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,34.98,0.0,,30,28,124758,7223960,TIMEOUT,5526.7842,,,,,,,,,,,,,
bluetooth_5_1200,8512,5,1200,15 states,15 symbols,33456,71,0,10746,110468.9189,16,15,191664,7332211,SAT,1652.9133,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,16,15,191664,7332211,SAT,1657.5253,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
bluetooth_9_1200,509,9,1200,15 states,15 symbols,33400,61,0,15838,76612.1369,16,15,273136,10550327,SAT,1880.8431,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,16,15,273136,10550327,SAT,1905.0015,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
bluetooth_2_300,9112,2,300,15 states,15 symbols,8426,87,30,4211,10884.6931,30,28,186905,11455115,TIMEOUT,5675.4352,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,74.36,0.0,,30,28,186905,11455115,TIMEOUT,5766.6300,,,,,,,,,,,,,
