File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
bluetooth_5_150,5571,5,150,15 states,15 symbols,4157,79,190,2078,10417.3361,30,28,125048,7254942,TIMEOUT,5451.3894,,,,,,,,-1,-1,-1,,-1,-1,29.37,0,,30,28,125048,7254942,TIMEOUT,5513.538,,,,,,,,,,-1,,,-1
bluetooth_2_150,8134,2,150,15 states,15 symbols,4149,92,171,2068,12178.54,30,28,124758,7223960,TIMEOUT,5440.474,,,,,,,,-1,-1,-1,,-1,-1,34.98,0,,30,28,124758,7223960,TIMEOUT,5526.7842,,,,,,,,,,-1,,,-1
bluetooth_1_150,4955,1,150,15 states,15 symbols,4153,78,165,2075,9298.4601,30,28,124961,7204943,TIMEOUT,5481.3137,,,,,,,,-1,-1,-1,,-1,-1,32.1,0,,30,28,124961,7204943,TIMEOUT,5501.3936,,,,,,,,,,-1,,,-1
bluetooth_4_150,8493,4,150,15 states,15 symbols,4165,87,138,2075,7248.4979,30,28,124961,7174667,TIMEOUT,5449.5415,,,,,,,,-1,-1,-1,,-1,-1,38.67,0,,30,28,124961,7174667,TIMEOUT,5396.4655,,,,,,,,,,-1,,,-1
bluetooth_3_150,7492,3,150,15 states,15 symbols,4169,76,124,2077,6426.6621,30,28,125019,7136795,TIMEOUT,5576.9464,,,,,,,,-1,-1,-1,,-1,-1,38,0,,30,28,125019,7136795,TIMEOUT,5560.5984,,,,,,,,,,-1,,,-1
bluetooth_6_150,5064,6,150,15 states,15 symbols,4152,74,180,2073,10615.3226,30,28,124903,7219267,TIMEOUT,5524.0799,,,,,,,,-1,-1,-1,,-1,-1,29.13,0,,30,28,124903,7219267,TIMEOUT,5481.9906,,,,,,,,,,-1,,,-1
bluetooth_7_150,8095,7,150,15 states,15 symbols,4158,78,172,2072,10785.8504,30,28,124874,7210450,TIMEOUT,5476.9089,,,,,,,,-1,-1,-1,,-1,-1,31.2,0,,30,28,124874,7210450,TIMEOUT,5480.1787,,,,,,,,,,-1,,,-1
bluetooth_0_150,6773,0,150,15 states,15 symbols,4186,73,168,2088,10675.7909,30,28,125338,7228736,TIMEOUT,5591.1266,,,,,,,,-1,-1,-1,,-1,-1,30.29,0,,30,28,125338,7228736,TIMEOUT,5519.2533,,,,,,,,,,-1,,,-1
bluetooth_8_150,7258,8,150,15 states,15 symbols,4159,76,104,2079,5005.2415,30,28,125077,7107333,TIMEOUT,5492.1016,,,,,,,,-1,-1,-1,,-1,-1,42.22,0,,30,28,125077,7107333,TIMEOUT,5451.0256,,,,,,,,,,-1,,,-1
bluetooth_9_150,2581,9,150,15 states,15 symbols,4151,70,196,2074,11118.609,30,28,124932,7241540,TIMEOUT,5533.2173,,,,,,,,-1,-1,-1,,-1,-1,26.32,0,,30,28,124932,7241540,TIMEOUT,5458.3478,,,,,,,,,,-1,,,-1
