File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
coffeemachine_6_200,6913,6,200,6 states,8 symbols,1936,19,0,6,8,0,4,0,138.1579,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_4_25,8307,4,25,6 states,8 symbols,219,14,2,5,8,31,4,0,0.4478,100,100,75,100,0,25,1.0,0.75,1.0,0.9,0.9,0.9,0.825,87.5,193.75,100,100,91,100,0,9,1.00,0.91,1.00,1.00,1.00,1.00
coffeemachine_3_6,5795,3,6,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1224,44,44,18,44,0,26,1.0,0.41,1.0,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,23,42,2,21,0.92,0.52,0.95,0.70,0.70,0.70
coffeemachine_8_25,5553,8,25,6 states,8 symbols,222,12,3,5,8,27,4,0,0.3361,100,100,47,100,0,53,1.0,0.47,1.0,0.6,0.7,0.7,0.7543859649122806,80.0,180.0,100,100,63,100,0,37,1.00,0.63,1.00,0.80,0.80,0.80
coffeemachine_6_50,9998,6,50,6 states,8 symbols,487,10,10,7,8,69,4,0,1.6582,200,200,36,200,0,164,1.0,0.18,1.0,0.3,0.6,0.6,0.5208333333333333,50.0,345.0,200,200,79,200,0,121,1.00,0.40,1.00,0.60,0.70,0.70
coffeemachine_3_12,5795,3,12,6 states,8 symbols,71,13,3,8,8,194,3,0,0.1461,48,48,19,48,0,29,1.0,0.4,1.0,0.6,0.7,0.7,0.3405797101449275,81.25,1212.5,48,48,26,46,2,22,0.93,0.54,0.96,0.70,0.80,0.80
coffeemachine_3_100,1671,3,100,6 states,8 symbols,983,17,2,6,8,10,4,0,20.7389,400,400,351,400,0,49,1.0,0.88,1.0,0.9,0.9,0.9,0.9166666666666666,89.47,52.63,400,400,373,400,0,27,1.00,0.93,1.00,1.00,1.00,1.00
coffeemachine_3_3,5795,3,3,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1414,44,44,18,44,0,26,1.0,0.41,1.0,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,23,42,2,21,0.92,0.52,0.95,0.70,0.70,0.70
coffeemachine_5_3,6578,5,3,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1252,44,44,17,39,5,27,0.77,0.39,0.89,0.5,0.6,0.6,0.2980072463768116,81.25,962.5,44,44,24,39,5,20,0.83,0.55,0.89,0.70,0.70,0.70
coffeemachine_8_50,5553,8,50,6 states,8 symbols,483,15,6,7,8,40,4,0,1.7907,200,200,90,200,0,110,1.0,0.45,1.0,0.6,0.7,0.7,0.6689814814814815,71.43,190.48,200,200,119,200,0,81,1.00,0.59,1.00,0.70,0.80,0.80
