File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
coffeemachine_1_400,8822,1,400,6 states,8 symbols,3788,19,0,6,8,0,4,0,479.1641,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_5_400,2212,5,400,6 states,8 symbols,3711,19,0,6,8,0,4,0,538.6328,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_4_400,4047,4,400,6 states,8 symbols,3666,19,0,6,8,0,4,0,371.8717,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_9_400,6919,9,400,6 states,8 symbols,3717,19,0,6,8,0,4,0,215.2796,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_6_400,6913,6,400,6 states,8 symbols,3748,19,0,6,8,0,4,0,478.5011,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_8_400,1306,8,400,6 states,8 symbols,3788,18,1,6,8,0,4,0,352.8633,1600,1600,1509,1600,0,91,1.0,0.94,1.0,1.0,1.0,1.0,0.9583333333333334,94.74,0.0,1600,1600,1537,1600,0,63,1.00,0.96,1.00,1.00,1.00,1.00
coffeemachine_3_400,1671,3,400,6 states,8 symbols,3748,19,0,6,8,0,4,0,434.6467,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_2_400,9825,2,400,6 states,8 symbols,3693,19,0,6,8,0,4,0,395.0505,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_0_400,1185,0,400,6 states,8 symbols,3764,19,0,6,8,0,4,0,362.4098,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_7_400,6434,7,400,6 states,8 symbols,3764,19,0,6,8,0,4,0,500.243,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
