File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
coffeemachine_5_12,6578,5,12,6 states,8 symbols,70,5,3,34,8,53,3,0,0.1167,5,4,475,4305,SAT,0.1279,48,48,37,42,6,11,0.86,0.77,0.88,0.8,0.8,0.8,0.5729166666666666,62.5,662.5,,5,4,475,4305,SAT,0.1500,48,48,39,43,5,9,0.89,0.81,0.90,0.80,0.90,0.90,0.5729166666666666
coffeemachine_3_200,1671,3,200,6 states,8 symbols,1960,10,0,641,8,8,4,0,83.9264,7,6,5082,82621,SAT,1.5636,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,80.0,,7,6,5082,82621,SAT,1.2045,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.9583333333333334
coffeemachine_0_50,3681,0,50,6 states,8 symbols,489,9,0,234,8,23,4,0,1.7733,7,6,2233,33683,SAT,0.3755,200,200,200,195,5,0,0.98,1.0,0.97,1.0,1.0,1.0,0.875,100.0,255.56,,7,6,2233,33683,SAT,0.8396,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_6_3,9998,6,3,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1073,5,4,445,3839,SAT,0.0863,44,44,39,35,9,5,0.81,0.89,0.8,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0881,44,44,39,38,6,5,0.87,0.89,0.86,0.90,0.90,0.90,0.46875
coffeemachine_3_400,1671,3,400,6 states,8 symbols,3748,8,0,1579,8,0,4,0,272.6903,7,6,11648,194985,SAT,3.2294,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,11648,194985,SAT,2.9866,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_3_3,5795,3,3,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1139,5,4,445,3839,SAT,0.0798,44,44,38,42,2,6,0.95,0.86,0.95,0.9,0.9,0.9,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0853,44,44,41,36,8,3,0.84,0.93,0.82,0.90,0.90,0.90,0.46875
coffeemachine_9_3,2925,9,3,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1198,5,4,445,3839,SAT,0.0975,44,44,37,35,9,7,0.8,0.84,0.8,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0840,44,44,39,37,7,5,0.85,0.89,0.84,0.90,0.90,0.90,0.46875
coffeemachine_4_100,4047,4,100,6 states,8 symbols,941,11,0,245,8,6,4,0,21.899,7,6,2310,35199,SAT,0.6814,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,54.55,,7,6,2310,35199,SAT,0.6357,400,400,400,400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.9583333333333334
coffeemachine_1_12,8014,1,12,6 states,8 symbols,69,5,2,30,8,36,3,0,0.1082,5,4,455,4011,SAT,0.094,48,48,37,46,2,11,0.95,0.77,0.96,0.9,0.9,0.9,0.5208333333333334,71.43,514.29,,5,4,455,4011,SAT,0.1337,48,48,42,46,2,6,0.95,0.88,0.96,0.90,0.90,0.90,0.5208333333333334
coffeemachine_3_50,5795,3,50,6 states,8 symbols,467,8,0,217,8,0,4,0,1.1452,7,6,2114,31545,SAT,0.3448,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,2114,31545,SAT,0.6765,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
