File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
coffeemachine_3_200,1671,3,200,6 states,8 symbols,1960,10,0,641,8,8,4,0,83.9264,7,6,5082,82621,SAT,1.5636,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,80.0,,7,6,5082,82621,SAT,1.2045,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.9583333333333334
coffeemachine_0_200,1185,0,200,6 states,8 symbols,1920,7,0,906,8,0,4,0,35.2834,7,6,6937,114127,SAT,1.1479,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,6937,114127,SAT,1.8533,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_1_200,8822,1,200,6 states,8 symbols,1957,11,0,389,8,28,4,0,88.909,7,6,3318,52479,SAT,1.3672,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,254.55,,7,6,3318,52479,SAT,0.7739,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_4_200,4047,4,200,6 states,8 symbols,1861,10,0,621,8,5,4,0,80.9803,7,6,4942,80221,SAT,1.4246,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,50.0,,7,6,4942,80221,SAT,1.2898,800,800,800,787,13,0,0.98,1.00,0.98,1.00,1.00,1.00,0.9583333333333334
coffeemachine_5_200,2212,5,200,6 states,8 symbols,1912,9,0,913,8,4,4,0,76.2882,7,6,6986,115163,SAT,1.1434,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,44.44,,7,6,6986,115163,SAT,1.6457,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_8_200,1306,8,200,6 states,8 symbols,1981,8,1,793,8,20,4,0,81.4996,7,6,6146,100763,SAT,1.5298,800,800,748,800,0,52,1.0,0.94,1.0,1.0,1.0,1.0,0.9166666666666666,88.89,222.22,,7,6,6146,100763,SAT,1.4324,800,800,764,800,0,36,1.00,0.95,1.00,1.00,1.00,1.00,0.9166666666666666
coffeemachine_9_200,6919,9,200,6 states,8 symbols,1919,9,0,827,8,0,4,0,77.3561,7,6,6384,104843,SAT,2.1373,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,6384,104843,SAT,1.6152,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_7_200,6434,7,200,6 states,8 symbols,1954,9,0,909,8,5,4,0,80.1918,7,6,6958,114683,SAT,1.1179,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,55.56,,7,6,6958,114683,SAT,2.2727,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_6_200,6913,6,200,6 states,8 symbols,1936,9,0,960,8,0,4,0,88.5187,7,6,7315,120803,SAT,2.0027,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,7315,120803,SAT,2.3107,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.9583333333333334
coffeemachine_2_200,9825,2,200,6 states,8 symbols,1871,9,0,840,8,0,4,0,83.537,7,6,6475,106403,SAT,1.5572,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,0.0,,7,6,6475,106403,SAT,2.2231,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.9583333333333334
