File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
coffeemachine_6_0,9998,6,0,6 states,8 symbols,58,10,3,28,29,873,,,0.4080,6,5,606,6450,SAT,0.1695,44,44,1,44,0,43,1.00,0.02,1.00,0.00,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_7_50,8829,7,50,6 states,8 symbols,468,18,2,227,33,985,,,5.3794,6,5,1800,24466,SAT,0.2291,200,200,41,197,3,159,0.93,0.20,0.98,0.30,0.60,0.60,0.5041666666666667,90.00,4925.00
coffeemachine_2_25,5315,2,25,6 states,8 symbols,227,18,8,113,33,1593,,,1.9762,9,8,1998,36406,SAT,0.8307,100,100,65,100,0,35,1.00,0.65,1.00,0.80,0.80,0.80,0.4739583333333333,69.23,6126.92
coffeemachine_2_12,5315,2,12,6 states,8 symbols,70,10,4,35,30,1027,,,0.4656,7,6,840,10293,SAT,0.4326,48,48,4,48,0,44,1.00,0.08,1.00,0.20,0.50,0.50,0.3333333333333333,71.43,7335.71
coffeemachine_1_6,8014,1,6,6 states,8 symbols,58,10,3,28,29,873,,,0.4071,6,5,606,6450,SAT,0.1742,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_8_0,5553,8,0,6 states,8 symbols,58,10,3,28,29,873,,,0.3864,6,5,606,6450,SAT,0.1766,44,44,24,44,0,20,1.00,0.55,1.00,0.70,0.80,0.80,0.7333333333333334,76.92,6715.38
coffeemachine_8_3,5553,8,3,6 states,8 symbols,58,10,3,28,29,873,,,0.4133,6,5,606,6450,SAT,0.1732,44,44,24,44,0,20,1.00,0.55,1.00,0.70,0.80,0.80,0.7333333333333334,76.92,6715.38
coffeemachine_6_1,9998,6,1,6 states,8 symbols,58,10,3,28,29,873,,,0.3986,6,5,606,6450,SAT,0.1694,44,44,1,44,0,43,1.00,0.02,1.00,0.00,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_7_0,8829,7,0,6 states,8 symbols,58,10,3,28,29,873,,,0.4144,6,5,606,6450,SAT,0.1698,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_8_50,5553,8,50,6 states,8 symbols,483,23,9,229,34,2157,,,12.6395,11,10,3982,93351,SAT,20.8956,200,200,92,199,1,108,0.99,0.46,0.99,0.60,0.70,0.70,0.43333333333333335,71.88,6740.62
