File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
coffeemachine_1_6,8014,1,6,6 states,8 symbols,58,10,3,28,29,873,,,0.4071,6,5,606,6450,SAT,0.1742,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_3_6,5795,3,6,6 states,8 symbols,58,10,3,28,29,873,,,0.3833,6,5,606,6450,SAT,0.1642,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_0_6,3681,0,6,6 states,8 symbols,58,10,3,28,29,873,,,0.4287,6,5,606,6450,SAT,0.1810,44,44,4,44,0,40,1.00,0.09,1.00,0.20,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_5_6,6578,5,6,6 states,8 symbols,58,10,3,28,29,873,,,0.3972,6,5,606,6450,SAT,0.1692,44,44,6,44,0,38,1.00,0.14,1.00,0.20,0.60,0.60,0.4714912280701754,76.92,6715.38
coffeemachine_9_6,2925,9,6,6 states,8 symbols,58,10,3,28,29,873,,,0.4066,6,5,606,6450,SAT,0.1713,44,44,3,44,0,41,1.00,0.07,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_2_6,5315,2,6,6 states,8 symbols,58,10,3,28,29,873,,,0.4284,6,5,606,6450,SAT,0.1830,44,44,1,44,0,43,1.00,0.02,1.00,0.00,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_8_6,5553,8,6,6 states,8 symbols,58,10,3,28,29,873,,,0.4113,6,5,606,6450,SAT,0.1710,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_4_6,8307,4,6,6 states,8 symbols,58,10,3,28,29,873,,,0.3840,6,5,606,6450,SAT,0.1677,44,44,2,44,0,42,1.00,0.05,1.00,0.10,0.50,0.50,0.4714912280701754,76.92,6715.38
coffeemachine_7_6,8829,7,6,6 states,8 symbols,58,10,3,28,29,873,,,0.4606,6,5,606,6450,SAT,0.1682,44,44,23,44,0,21,1.00,0.52,1.00,0.70,0.80,0.80,0.7333333333333334,76.92,6715.38
coffeemachine_6_6,9998,6,6,6 states,8 symbols,58,10,3,28,29,873,,,0.4223,6,5,606,6450,SAT,0.1909,44,44,1,44,0,43,1.00,0.02,1.00,0.00,0.50,0.50,0.4714912280701754,76.92,6715.38
