File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
coffeemachine_7_6,8829,7,6,6 states,8 symbols,58,3,3,26,0.0111,5,4,435,3717,SAT,0.0874,44,44,36,39,5,8,0.88,0.82,0.89,0.8,0.9,0.9,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1143,44,44,43,38,6,1,0.88,0.98,0.86,0.90,0.90,0.90,0.41666666666666663
coffeemachine_6_3,9998,6,3,6 states,8 symbols,58,3,3,26,0.0113,5,4,435,3717,SAT,0.0743,44,44,39,35,9,5,0.81,0.89,0.8,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1105,44,44,39,38,6,5,0.87,0.89,0.86,0.90,0.90,0.90,0.41666666666666663
coffeemachine_0_0,3681,0,0,6 states,8 symbols,58,3,3,26,0.0111,5,4,435,3717,SAT,0.0813,44,44,37,38,6,7,0.86,0.84,0.86,0.9,0.9,0.9,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1123,44,44,42,38,6,2,0.88,0.95,0.86,0.90,0.90,0.90,0.41666666666666663
coffeemachine_1_6,8014,1,6,6 states,8 symbols,58,3,3,26,0.0114,5,4,435,3717,SAT,0.0861,44,44,34,34,10,10,0.77,0.77,0.77,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1186,44,44,39,34,10,5,0.80,0.89,0.77,0.80,0.80,0.80,0.41666666666666663
coffeemachine_3_400,1671,3,400,6 states,8 symbols,3748,8,0,1579,403.582,7,6,11648,194985,SAT,4.5849,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,11648,194985,SAT,3.3724,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_8_100,1306,8,100,6 states,8 symbols,1007,6,0,501,10.8844,7,6,4102,65429,SAT,0.7753,400,400,380,400,0,20,1.0,0.95,1.0,1.0,1.0,1.0,0.9166666666666666,100.0,0.0,,7,6,4102,65429,SAT,1.5412,400,400,378,400,0,22,1.00,0.94,1.00,1.00,1.00,1.00,0.8333333333333334
coffeemachine_7_50,8829,7,50,6 states,8 symbols,468,7,1,210,0.7968,6,5,1698,22106,SAT,0.1974,200,200,113,194,6,87,0.95,0.56,0.97,0.7,0.8,0.8,0.6875,87.5,0.0,,6,5,1698,22106,SAT,0.4313,200,200,138,195,5,62,0.97,0.69,0.97,0.80,0.80,0.80,0.6875
coffeemachine_8_25,5553,8,25,6 states,8 symbols,222,5,2,108,0.1333,6,5,1086,13058,SAT,0.1885,100,100,50,94,6,50,0.89,0.5,0.94,0.6,0.7,0.7,0.6875,71.43,0.0,,6,5,1086,13058,SAT,0.3829,100,100,60,96,4,40,0.94,0.60,0.96,0.70,0.80,0.80,0.6875
coffeemachine_5_12,6578,5,12,6 states,8 symbols,70,3,8,34,0.0446,7,6,833,9879,SAT,0.236,48,48,2,48,0,46,1.0,0.04,1.0,0.1,0.5,0.5,0.375,27.27,0.0,,7,6,833,9879,SAT,0.4643,48,48,37,48,0,11,1.00,0.77,1.00,0.90,0.90,0.90,0.4583333333333333
coffeemachine_2_25,5315,2,25,6 states,8 symbols,227,6,3,89,0.2636,6,5,972,11530,SAT,0.1587,100,100,62,99,1,38,0.98,0.62,0.99,0.8,0.8,0.8,0.5958333333333333,66.67,0.0,,6,5,972,11530,SAT,0.3101,100,100,75,99,1,25,0.99,0.75,0.99,0.90,0.90,0.90,0.5958333333333333
