File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
coffeemachine_6_3,9998,6,3,6 states,8 symbols,58,3,3,26,0.0113,5,4,435,3717,SAT,0.0743,44,44,39,35,9,5,0.81,0.89,0.8,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1105,44,44,39,38,6,5,0.87,0.89,0.86,0.90,0.90,0.90,0.41666666666666663
coffeemachine_0_3,3681,0,3,6 states,8 symbols,58,3,3,26,0.0114,5,4,435,3717,SAT,0.0759,44,44,37,38,6,7,0.86,0.84,0.86,0.9,0.9,0.9,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1110,44,44,42,38,6,2,0.88,0.95,0.86,0.90,0.90,0.90,0.41666666666666663
coffeemachine_5_3,6578,5,3,6 states,8 symbols,58,3,3,26,0.0113,5,4,435,3717,SAT,0.0734,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1136,44,44,36,40,4,8,0.90,0.82,0.91,0.90,0.90,0.90,0.41666666666666663
coffeemachine_7_3,8829,7,3,6 states,8 symbols,58,3,3,26,0.011,5,4,435,3717,SAT,0.0729,44,44,36,39,5,8,0.88,0.82,0.89,0.8,0.9,0.9,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1010,44,44,43,38,6,1,0.88,0.98,0.86,0.90,0.90,0.90,0.41666666666666663
coffeemachine_3_3,5795,3,3,6 states,8 symbols,58,3,3,26,0.011,5,4,435,3717,SAT,0.0729,44,44,38,42,2,6,0.95,0.86,0.95,0.9,0.9,0.9,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1078,44,44,41,36,8,3,0.84,0.93,0.82,0.90,0.90,0.90,0.41666666666666663
coffeemachine_1_3,8014,1,3,6 states,8 symbols,58,3,3,26,0.0114,5,4,435,3717,SAT,0.079,44,44,34,34,10,10,0.77,0.77,0.77,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1077,44,44,39,34,10,5,0.80,0.89,0.77,0.80,0.80,0.80,0.41666666666666663
coffeemachine_8_3,5553,8,3,6 states,8 symbols,58,3,3,26,0.011,5,4,435,3717,SAT,0.073,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1004,44,44,37,34,10,7,0.79,0.84,0.77,0.80,0.80,0.80,0.41666666666666663
coffeemachine_9_3,2925,9,3,6 states,8 symbols,58,3,3,26,0.0112,5,4,435,3717,SAT,0.0889,44,44,37,35,9,7,0.8,0.84,0.8,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1024,44,44,39,37,7,5,0.85,0.89,0.84,0.90,0.90,0.90,0.41666666666666663
coffeemachine_4_3,8307,4,3,6 states,8 symbols,58,3,3,26,0.0111,5,4,435,3717,SAT,0.0784,44,44,31,38,6,13,0.84,0.7,0.86,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1145,44,44,38,32,12,6,0.76,0.86,0.73,0.80,0.80,0.80,0.41666666666666663
coffeemachine_2_3,5315,2,3,6 states,8 symbols,58,3,3,26,0.0113,5,4,435,3717,SAT,0.072,44,44,40,34,10,4,0.8,0.91,0.77,0.9,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1115,44,44,43,35,9,1,0.83,0.98,0.80,0.90,0.90,0.90,0.41666666666666663
