File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
openSSL_9_2400,7229,9,2400,6 states,20 symbols,23155,40,5,8,18,269,31,0,6245.5568,9600,9600,1024,9533,67,8576,0.94,0.11,0.99,0.2,0.5,0.5,0.7316849816849818,88.89,597.78
openSSL_1_9,9292,1,9,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.612,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_8_75,7727,8,75,6 states,20 symbols,679,53,4,15,18,1735,28,0,4.8606,300,300,54,271,29,246,0.65,0.18,0.9,0.3,0.5,0.5,0.3031522468142186,92.98,3043.86
openSSL_2_1200,7810,2,1200,6 states,20 symbols,11884,38,4,9,18,214,31,0,1432.5371,4800,4800,405,4744,56,4395,0.88,0.08,0.99,0.2,0.5,0.5,0.7228571428571429,90.48,509.52
openSSL_5_0,3796,5,0,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.6425,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_6_18,9758,6,18,6 states,20 symbols,153,51,5,22,18,3390,19,0,3.0129,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_6_600,6237,6,600,6 states,20 symbols,6111,38,4,9,19,296,30,0,986.8197,2400,2400,470,2359,41,1930,0.92,0.2,0.98,0.3,0.6,0.6,0.7228571428571429,90.48,704.76
openSSL_1_18,9292,1,18,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.5944,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_6_9,9758,6,9,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.5564,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_3_18,6240,3,18,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.6033,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_1_0,9292,1,0,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.5469,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_0_150,5989,0,150,6 states,20 symbols,1504,50,5,15,18,2026,31,0,15.7446,600,600,0,600,0,600,0.0,0.0,0.0,0.0,0.5,0.0,0.3255693581780538,90.91,3683.64
openSSL_2_18,180,2,18,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.6679,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_7_600,2395,7,600,6 states,20 symbols,6144,49,4,11,18,763,31,0,1070.0687,2400,2400,586,2225,175,1814,0.77,0.24,0.93,0.4,0.6,0.6,0.496031746031746,92.45,1439.62
openSSL_9_1200,7229,9,1200,6 states,20 symbols,11873,37,5,8,18,283,31,0,1473.6505,4800,4800,698,4747,53,4102,0.93,0.15,0.99,0.3,0.6,0.6,0.7295918367346939,88.1,673.81
openSSL_2_9,180,2,9,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.6033,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_2_2400,7810,2,2400,6 states,20 symbols,23153,33,3,7,18,28,31,0,5497.7834,9600,9600,1529,9521,79,8071,0.95,0.16,0.99,0.3,0.6,0.6,0.9047619047619048,91.67,77.78
openSSL_8_600,8082,8,600,6 states,20 symbols,6021,47,4,10,18,537,31,0,808.26,2400,2400,216,2295,105,2184,0.67,0.09,0.96,0.2,0.5,0.5,0.5464285714285715,92.16,1052.94
openSSL_2_37,180,2,37,6 states,20 symbols,258,35,5,14,18,994,20,0,1.1692,148,148,0,148,0,148,0.0,0.0,0.0,0.0,0.5,0.0,0.3414195867026055,87.5,2485.0
