File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
openSSL_9_75,8768,9,75,6 states,20 symbols,677,11,0,263,18,118,25,0,3.3344,6,5,3348,43603,SAT,0.3734,300,300,116,300,0,184,1.0,0.39,1.0,0.6,0.7,0.7,0.8642857142857143,100.0,1072.73,,6,5,3348,43603,SAT,0.4068,300,300,188,300,0,112,1.00,0.63,1.00,0.80,0.80,0.80,0.8642857142857143
openSSL_3_300,2753,3,300,6 states,20 symbols,3108,11,0,915,18,40,31,0,189.5007,6,5,7260,100979,SAT,0.8163,1200,1200,586,1117,83,614,0.88,0.49,0.93,0.6,0.7,0.7,0.680952380952381,100.0,363.64,,6,5,7260,100979,SAT,0.7037,1200,1200,586,1117,83,614,0.88,0.49,0.93,0.60,0.70,0.70,0.680952380952381
openSSL_9_18,8768,9,18,6 states,20 symbols,153,30,0,76,18,2110,19,0,1.1727,6,5,2226,28515,SAT,0.2481,112,112,45,112,0,67,1.0,0.4,1.0,0.6,0.7,0.7,0.8642857142857143,100.0,7033.33,,6,5,2226,28515,SAT,0.3378,112,112,112,107,5,0,0.96,1.00,0.96,1.00,1.00,1.00,0.8119047619047619
openSSL_2_1200,7810,2,1200,6 states,20 symbols,11884,11,0,3322,18,0,31,0,1308.6415,6,5,21702,312795,SAT,4.4905,4800,4800,1739,4643,157,3061,0.92,0.36,0.97,0.5,0.7,0.7,0.7595238095238095,100.0,0.0,,,,,,,,,,,,,,,,,,,,
openSSL_5_300,6634,5,300,6 states,20 symbols,3092,11,0,879,18,49,31,0,182.4204,6,5,7044,97811,SAT,1.2042,1200,1200,601,1157,43,599,0.93,0.5,0.96,0.7,0.7,0.7,0.7595238095238095,100.0,445.45,,6,5,7044,97811,SAT,0.8919,1200,1200,601,1157,43,599,0.93,0.50,0.96,0.70,0.70,0.70,0.7595238095238095
openSSL_6_0,9758,6,0,6 states,20 symbols,153,30,0,76,18,2110,19,0,1.1531,6,5,2226,28515,SAT,0.25,112,112,53,112,0,59,1.0,0.47,1.0,0.6,0.7,0.7,0.8642857142857143,100.0,7033.33,,6,5,2226,28515,SAT,0.3174,112,112,112,109,3,0,0.97,1.00,0.97,1.00,1.00,1.00,0.8119047619047619
openSSL_9_0,8768,9,0,6 states,20 symbols,153,30,0,76,18,2110,19,0,1.1645,6,5,2226,28515,SAT,0.2413,112,112,45,112,0,67,1.0,0.4,1.0,0.6,0.7,0.7,0.8642857142857143,100.0,7033.33,,6,5,2226,28515,SAT,0.3057,112,112,112,107,5,0,0.96,1.00,0.96,1.00,1.00,1.00,0.8119047619047619
openSSL_4_4,6940,4,4,6 states,20 symbols,153,30,0,76,18,2110,19,0,1.1033,6,5,2226,28515,SAT,0.2407,112,112,58,112,0,54,1.0,0.52,1.0,0.7,0.8,0.8,0.8642857142857143,100.0,7033.33,,6,5,2226,28515,SAT,0.3090,112,112,112,109,3,0,0.97,1.00,0.97,1.00,1.00,1.00,0.8119047619047619
openSSL_8_300,8082,8,300,6 states,20 symbols,3025,11,0,877,18,37,31,0,195.3617,6,5,7032,97635,SAT,1.4123,1200,1200,1200,1200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.8904761904761904,100.0,336.36,,6,5,7032,97635,SAT,1.0056,1200,1200,1200,1051,149,0,0.89,1.00,0.88,0.90,0.90,0.90,0.8642857142857143
openSSL_4_1200,3121,4,1200,6 states,20 symbols,11925,11,0,3288,18,0,31,0,1375.9938,6,5,21498,309803,SAT,4.5962,4800,4800,1726,4254,546,3074,0.76,0.36,0.89,0.5,0.6,0.6,0.7333333333333334,100.0,0.0,,,,,,,,,,,,,,,,,,,,
