File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
openSSL_8_600,8082,8,600,6 states,20 symbols,6021,11,0,1728,18,0,31,0,720.987,6,5,12138,172523,SAT,2.0517,2400,2400,1015,2294,106,1385,0.91,0.42,0.96,0.6,0.7,0.7,0.7333333333333334,100.0,0.0,,6,5,12138,172523,SAT,1.7966,2400,2400,1015,2294,106,1385,0.91,0.42,0.96,0.60,0.70,0.70,0.7333333333333334
openSSL_5_600,6634,5,600,6 states,20 symbols,6173,11,0,1847,18,0,31,0,789.0328,6,5,12852,182995,SAT,2.358,2400,2400,1012,2314,86,1388,0.92,0.42,0.96,0.6,0.7,0.7,0.7595238095238095,100.0,0.0,,6,5,12852,182995,SAT,1.8933,2400,2400,1012,2314,86,1388,0.92,0.42,0.96,0.60,0.70,0.70,0.7595238095238095
openSSL_3_600,2753,3,600,6 states,20 symbols,6129,11,0,1558,18,0,31,0,908.9471,6,5,11118,157563,SAT,1.8896,2400,2400,1027,2247,153,1373,0.87,0.43,0.94,0.6,0.7,0.7,0.680952380952381,100.0,0.0,,6,5,11118,157563,SAT,1.4764,2400,2400,1027,2247,153,1373,0.87,0.43,0.94,0.60,0.70,0.70,0.680952380952381
openSSL_1_600,6583,1,600,6 states,20 symbols,6094,11,0,3019,18,9,31,0,772.6574,6,5,19884,286131,SAT,4.0291,2400,2400,1008,2400,0,1392,1.0,0.42,1.0,0.6,0.7,0.7,0.8642857142857143,100.0,81.82,,6,5,19884,286131,SAT,3.2930,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.8904761904761904
openSSL_6_600,6237,6,600,6 states,20 symbols,6111,11,0,1878,19,0,30,0,889.4702,7,6,15554,255544,SAT,3.8266,2400,2400,1012,2354,46,1388,0.96,0.42,0.98,0.6,0.7,0.7,0.8785714285714286,100.0,0.0,,7,6,15554,255544,SAT,3.2363,2400,2400,1012,2354,46,1388,0.96,0.42,0.98,0.60,0.70,0.70,0.8785714285714286
openSSL_9_600,8960,9,600,6 states,20 symbols,6111,11,0,1907,18,18,31,0,494.2294,6,5,13212,188275,SAT,0.8313,2400,2400,1005,2332,68,1395,0.94,0.42,0.97,0.6,0.7,0.7,0.7857142857142857,100.0,163.64,,6,5,13212,188275,SAT,2.0096,2400,2400,1005,2332,68,1395,0.94,0.42,0.97,0.60,0.70,0.70,0.7857142857142857
openSSL_2_600,6118,2,600,6 states,20 symbols,6120,11,0,1790,18,0,31,0,783.3084,6,5,12510,177979,SAT,2.1338,2400,2400,1021,2272,128,1379,0.89,0.43,0.95,0.6,0.7,0.7,0.7333333333333334,100.0,0.0,,6,5,12510,177979,SAT,1.4186,2400,2400,1021,2272,128,1379,0.89,0.43,0.95,0.60,0.70,0.70,0.7333333333333334
openSSL_0_600,866,0,600,6 states,20 symbols,6102,11,0,1731,18,0,31,0,721.7591,6,5,12156,172787,SAT,2.6337,2400,2400,1008,2249,151,1392,0.87,0.42,0.94,0.6,0.7,0.7,0.680952380952381,100.0,0.0,,6,5,12156,172787,SAT,1.5929,2400,2400,1008,2249,151,1392,0.87,0.42,0.94,0.60,0.70,0.70,0.680952380952381
openSSL_4_600,979,4,600,6 states,20 symbols,6119,11,0,1628,18,24,31,0,886.0007,6,5,11538,163723,SAT,1.9921,2400,2400,1023,2309,91,1377,0.92,0.43,0.96,0.6,0.7,0.7,0.7595238095238095,100.0,218.18,,6,5,11538,163723,SAT,1.8957,2400,2400,1023,2309,91,1377,0.92,0.43,0.96,0.60,0.70,0.70,0.7595238095238095
openSSL_7_600,2395,7,600,6 states,20 symbols,6144,11,0,1752,18,25,31,0,958.9413,6,5,12282,174635,SAT,2.1158,2400,2400,1016,2255,145,1384,0.88,0.42,0.94,0.6,0.7,0.7,0.7071428571428572,100.0,227.27,,6,5,12282,174635,SAT,1.6409,2400,2400,1016,2255,145,1384,0.88,0.42,0.94,0.60,0.70,0.70,0.7071428571428572
