File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
openSSL_6_75,9758,6,75,6 states,20 symbols,691,110,4,344,104,128082,,,232.7304,8,7,5896,109689,SAT,1.0944,300,300,24,297,3,276,0.89,0.08,0.99,0.10,0.50,0.50,0.6537487335359675,96.49
openSSL_4_75,6940,4,75,6 states,20 symbols,693,126,3,346,105,130317,,,218.8702,7,6,4830,83268,SAT,0.6030,300,300,116,243,57,184,0.67,0.39,0.81,0.50,0.60,0.60,0.8434959349593496,97.67
openSSL_8_75,7727,8,75,6 states,20 symbols,679,122,4,336,109,159172,,,236.1115,8,7,5832,109969,SAT,1.2788,300,300,108,280,20,192,0.84,0.36,0.93,0.50,0.60,0.60,0.7142857142857142,96.83
openSSL_7_18,312,7,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.7077,8,7,3744,57600,SAT,0.7931,112,112,112,63,49,0,0.70,1.00,0.56,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_1_0,9292,1,0,6 states,20 symbols,153,35,2,75,89,11631,,,6.6320,8,7,3744,57600,SAT,0.8476,112,112,112,67,45,0,0.71,1.00,0.60,0.80,0.80,0.80,0.4017857142857143,94.59
openSSL_1_150,9292,1,150,6 states,20 symbols,1506,94,0,752,113,81806,,,710.5345,6,5,6282,92611,SAT,0.6105,600,600,232,596,4,368,0.98,0.39,0.99,0.60,0.70,0.70,0.7071428571428572,100.00
openSSL_8_150,7727,8,150,6 states,20 symbols,1499,133,1,748,113,196403,,,1304.1323,7,6,7644,131998,SAT,0.9823,600,600,118,588,12,482,0.91,0.20,0.98,0.30,0.60,0.60,0.6428571428571428,99.25
openSSL_9_9,8768,9,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.6466,8,7,3744,57600,SAT,0.7920,112,112,112,64,48,0,0.70,1.00,0.57,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_0_150,5989,0,150,6 states,20 symbols,1504,114,0,751,112,138207,,,997.3569,6,5,6276,93963,SAT,0.7657,600,600,600,520,80,0,0.88,1.00,0.87,0.90,0.90,0.90,0.7857142857142857,100.00
openSSL_0_4,5989,0,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.7701,8,7,3744,57600,SAT,0.8066,112,112,112,58,54,0,0.67,1.00,0.52,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_6_9,9758,6,9,6 states,20 symbols,153,35,2,75,89,11631,,,7.0911,8,7,3744,57600,SAT,0.9037,112,112,112,59,53,0,0.68,1.00,0.53,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_5_150,3796,5,150,6 states,20 symbols,1486,117,0,742,116,135638,,,1156.9815,6,5,6222,93387,SAT,0.7207,600,600,226,600,0,374,1.00,0.38,1.00,0.50,0.70,0.70,0.838095238095238,100.00
openSSL_4_0,6940,4,0,6 states,20 symbols,153,35,2,75,89,11631,,,6.7953,8,7,3744,57600,SAT,0.9248,112,112,112,68,44,0,0.72,1.00,0.61,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_5_9,3796,5,9,6 states,20 symbols,153,35,2,75,89,11631,,,7.2458,8,7,3744,57600,SAT,0.9241,112,112,112,72,40,0,0.74,1.00,0.64,0.80,0.80,0.80,0.30952380952380953,94.59
openSSL_2_75,180,2,75,6 states,20 symbols,681,129,3,340,102,173876,,,346.8193,7,6,4788,82842,SAT,0.7527,300,300,107,232,68,193,0.61,0.36,0.77,0.50,0.60,0.60,0.8333333333333334,97.73
openSSL_6_18,9758,6,18,6 states,20 symbols,153,35,2,75,89,11631,,,8.6875,8,7,3744,57600,SAT,1.0188,112,112,112,59,53,0,0.68,1.00,0.53,0.80,0.80,0.80,0.2874149659863946,94.59
openSSL_3_18,6240,3,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.6443,8,7,3744,57600,SAT,0.7825,112,112,112,65,47,0,0.70,1.00,0.58,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_7_150,312,7,150,6 states,20 symbols,1516,105,0,757,109,103990,,,906.2244,6,5,6312,93843,SAT,3.6063,600,600,224,595,5,376,0.98,0.37,0.99,0.50,0.70,0.70,0.6547619047619048,100.00
openSSL_3_150,6240,3,150,6 states,20 symbols,1511,104,0,751,111,105527,,,1021.8845,6,5,6276,93243,SAT,0.9222,600,600,222,599,1,378,1.00,0.37,1.00,0.50,0.70,0.70,0.838095238095238,100.00
openSSL_1_4,9292,1,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.6915,8,7,3744,57600,SAT,0.7548,112,112,112,67,45,0,0.71,1.00,0.60,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_3_37,6240,3,37,6 states,20 symbols,259,57,3,129,97,29459,,,18.9576,7,6,3311,50466,SAT,0.4158,148,148,62,117,31,86,0.67,0.42,0.79,0.50,0.60,0.60,0.8095238095238095,95.00
openSSL_1_75,9292,1,75,6 states,20 symbols,695,111,3,346,107,128538,,,247.7429,7,6,4830,81798,SAT,0.6617,300,300,111,250,50,189,0.69,0.37,0.83,0.50,0.60,0.60,0.8809523809523809,97.37
openSSL_7_0,312,7,0,6 states,20 symbols,153,35,2,75,89,11631,,,7.2534,8,7,3744,57600,SAT,1.2484,112,112,112,63,49,0,0.70,1.00,0.56,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_4_37,6940,4,37,6 states,20 symbols,259,60,3,129,98,40781,,,20.5547,7,6,3311,50760,SAT,0.4249,148,148,69,114,34,79,0.67,0.47,0.77,0.50,0.60,0.60,0.867595818815331,95.24
openSSL_9_18,8768,9,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.5954,8,7,3744,57600,SAT,0.9732,112,112,112,64,48,0,0.70,1.00,0.57,0.80,0.80,0.80,0.33163265306122447,94.59
openSSL_1_9,9292,1,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.9023,8,7,3744,57600,SAT,0.7814,112,112,112,67,45,0,0.71,1.00,0.60,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_5_75,3796,5,75,6 states,20 symbols,676,121,3,336,106,166768,,,271.5272,7,6,4760,81578,SAT,0.6777,300,300,115,245,55,185,0.68,0.38,0.82,0.50,0.60,0.60,0.8809523809523809,97.58
openSSL_0_37,5989,0,37,6 states,20 symbols,258,50,4,128,99,25375,,,13.3271,7,6,3304,49758,SAT,0.5833,148,148,65,118,30,83,0.68,0.44,0.80,0.50,0.60,0.60,0.867595818815331,92.59
openSSL_8_9,7727,8,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.4107,8,7,3744,57600,SAT,0.7344,112,112,112,61,51,0,0.69,1.00,0.54,0.80,0.80,0.80,0.3979591836734694,94.59
