File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
openSSL_7_18,312,7,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.7077,8,7,3744,57600,SAT,0.7931,112,112,112,63,49,0,0.70,1.00,0.56,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_6_18,9758,6,18,6 states,20 symbols,153,35,2,75,89,11631,,,8.6875,8,7,3744,57600,SAT,1.0188,112,112,112,59,53,0,0.68,1.00,0.53,0.80,0.80,0.80,0.2874149659863946,94.59
openSSL_3_18,6240,3,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.6443,8,7,3744,57600,SAT,0.7825,112,112,112,65,47,0,0.70,1.00,0.58,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_9_18,8768,9,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.5954,8,7,3744,57600,SAT,0.9732,112,112,112,64,48,0,0.70,1.00,0.57,0.80,0.80,0.80,0.33163265306122447,94.59
openSSL_4_18,6940,4,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.6123,8,7,3744,57600,SAT,0.7863,112,112,112,68,44,0,0.72,1.00,0.61,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_0_18,5989,0,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.7930,8,7,3744,57600,SAT,0.7902,112,112,112,58,54,0,0.67,1.00,0.52,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_1_18,9292,1,18,6 states,20 symbols,153,35,2,75,89,11631,,,7.7137,8,7,3744,57600,SAT,0.8296,112,112,112,67,45,0,0.71,1.00,0.60,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_2_18,180,2,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.8754,8,7,3744,57600,SAT,0.7871,112,112,112,59,53,0,0.68,1.00,0.53,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_8_18,7727,8,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.5158,8,7,3744,57600,SAT,0.9023,112,112,112,61,51,0,0.69,1.00,0.54,0.80,0.80,0.80,0.3537414965986394,94.59
openSSL_5_18,3796,5,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.5404,8,7,3744,57600,SAT,0.9279,112,112,112,72,40,0,0.74,1.00,0.64,0.80,0.80,0.80,0.30952380952380953,94.59
