File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
openSSL_1_18,9292,1,18,6 states,20 symbols,153,15,6,76,0.1942,7,6,2940,40284,SAT,0.5747,112.0,112.0,112.0,67.0,45.0,0.0,0.71,1.0,0.6,0.8,0.8,0.8,0.5238095238095238,71.43,0.0,,7,6,2940,40284,SAT,0.4745,112,112,74,83,29,38,0.72,0.66,0.74,0.70,0.70,0.70,0.38095238095238093
openSSL_3_0,6240,3,0,6 states,20 symbols,153,15,6,76,0.1973,7,6,2940,40284,SAT,0.3684,112.0,112.0,45.0,82.0,30.0,67.0,0.6,0.4,0.73,0.5,0.6,0.6,0.3809523809523809,71.43,0.0,,7,6,2940,40284,SAT,0.3699,112,112,80,67,45,32,0.64,0.71,0.60,0.70,0.70,0.70,0.38095238095238093
openSSL_2_9,180,2,9,6 states,20 symbols,153,15,6,76,0.1958,7,6,2940,40284,SAT,0.3613,112.0,112.0,112.0,59.0,53.0,0.0,0.68,1.0,0.53,0.8,0.8,0.8,0.5301974448315911,71.43,0.0,,7,6,2940,40284,SAT,0.3748,112,112,69,68,44,43,0.61,0.62,0.61,0.60,0.60,0.60,0.38095238095238093
openSSL_6_37,9758,6,37,6 states,20 symbols,258,20,3,127,0.8537,8,7,4160,63972,SAT,1.8352,148.0,148.0,68.0,117.0,31.0,80.0,0.69,0.46,0.79,0.6,0.6,0.6,0.4200680272108843,86.96,0.0,,8,7,4160,63972,SAT,0.5893,148,148,93,98,50,55,0.65,0.63,0.66,0.60,0.60,0.60,0.4200680272108843
openSSL_3_18,6240,3,18,6 states,20 symbols,153,15,6,76,0.1963,7,6,2940,40284,SAT,0.3615,112.0,112.0,112.0,65.0,47.0,0.0,0.7,1.0,0.58,0.8,0.8,0.8,0.5301974448315911,71.43,0.0,,7,6,2940,40284,SAT,0.3691,112,112,80,67,45,32,0.64,0.71,0.60,0.70,0.70,0.70,0.38095238095238093
openSSL_7_0,312,7,0,6 states,20 symbols,153,15,6,76,0.197,7,6,2940,40284,SAT,0.419,112.0,112.0,48.0,86.0,26.0,64.0,0.65,0.43,0.77,0.5,0.6,0.6,0.4047619047619047,71.43,0.0,,7,6,2940,40284,SAT,0.3653,112,112,68,80,32,44,0.68,0.61,0.71,0.60,0.70,0.70,0.38095238095238093
openSSL_2_4,180,2,4,6 states,20 symbols,153,15,6,76,0.1957,7,6,2940,40284,SAT,0.3601,112.0,112.0,42.0,85.0,27.0,70.0,0.61,0.38,0.76,0.5,0.6,0.6,0.3809523809523809,71.43,0.0,,7,6,2940,40284,SAT,0.3675,112,112,69,68,44,43,0.61,0.62,0.61,0.60,0.60,0.60,0.38095238095238093
openSSL_8_0,7727,8,0,6 states,20 symbols,153,15,6,76,0.2056,7,6,2940,40284,SAT,0.3828,112.0,112.0,49.0,89.0,23.0,63.0,0.68,0.44,0.79,0.5,0.6,0.6,0.4047619047619047,71.43,0.0,,7,6,2940,40284,SAT,0.3657,112,112,70,70,42,42,0.62,0.62,0.62,0.60,0.60,0.60,0.38095238095238093
openSSL_0_2400,5878,0,2400,6 states,20 symbols,23256,11,0,10936,4877.7598,7,6,78960,1342504,SAT,10.0,9600.0,9600.0,2947.0,9254.0,346.0,6653.0,0.89,0.31,0.96,0.5,0.6,0.6,0.867595818815331,100.0,0.0,,,,,,,,,,,,,,,,,,,,
openSSL_4_0,6940,4,0,6 states,20 symbols,153,15,6,76,0.1964,7,6,2940,40284,SAT,0.3799,112.0,112.0,112.0,68.0,44.0,0.0,0.72,1.0,0.61,0.8,0.8,0.8,0.4523809523809524,71.43,0.0,,7,6,2940,40284,SAT,0.3671,112,112,77,74,38,35,0.67,0.69,0.66,0.70,0.70,0.70,0.38095238095238093
