File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
openSSL_2_4,180,2,4,6 states,20 symbols,153,15,6,76,0.1957,7,6,2940,40284,SAT,0.3601,112.0,112.0,42.0,85.0,27.0,70.0,0.61,0.38,0.76,0.5,0.6,0.6,0.3809523809523809,71.43,0.0,,7,6,2940,40284,SAT,0.3675,112,112,69,68,44,43,0.61,0.62,0.61,0.60,0.60,0.60,0.38095238095238093
openSSL_7_4,312,7,4,6 states,20 symbols,153,15,6,76,0.1971,7,6,2940,40284,SAT,0.389,112.0,112.0,112.0,63.0,49.0,0.0,0.7,1.0,0.56,0.8,0.8,0.8,0.5238095238095238,71.43,0.0,,7,6,2940,40284,SAT,0.5528,112,112,68,80,32,44,0.68,0.61,0.71,0.60,0.70,0.70,0.38095238095238093
openSSL_1_4,9292,1,4,6 states,20 symbols,153,15,6,76,0.202,7,6,2940,40284,SAT,0.3827,112.0,112.0,49.0,91.0,21.0,63.0,0.7,0.44,0.81,0.5,0.6,0.6,0.4047619047619047,71.43,0.0,,7,6,2940,40284,SAT,0.4132,112,112,74,83,29,38,0.72,0.66,0.74,0.70,0.70,0.70,0.38095238095238093
openSSL_0_4,5989,0,4,6 states,20 symbols,153,15,6,76,0.1988,7,6,2940,40284,SAT,0.3641,112.0,112.0,46.0,89.0,23.0,66.0,0.67,0.41,0.79,0.5,0.6,0.6,0.3809523809523809,71.43,0.0,,7,6,2940,40284,SAT,0.4023,112,112,68,67,45,44,0.60,0.61,0.60,0.60,0.60,0.60,0.38095238095238093
openSSL_6_4,9758,6,4,6 states,20 symbols,153,15,6,76,0.194,7,6,2940,40284,SAT,0.4048,112.0,112.0,112.0,59.0,53.0,0.0,0.68,1.0,0.53,0.8,0.8,0.8,0.4819976771196283,71.43,0.0,,7,6,2940,40284,SAT,0.3702,112,112,73,73,39,39,0.65,0.65,0.65,0.70,0.70,0.70,0.38095238095238093
openSSL_3_4,6240,3,4,6 states,20 symbols,153,15,6,76,0.1946,7,6,2940,40284,SAT,0.3581,112.0,112.0,112.0,65.0,47.0,0.0,0.7,1.0,0.58,0.8,0.8,0.8,0.5476190476190477,71.43,0.0,,7,6,2940,40284,SAT,0.7312,112,112,80,67,45,32,0.64,0.71,0.60,0.70,0.70,0.70,0.38095238095238093
openSSL_4_4,6940,4,4,6 states,20 symbols,153,15,6,76,0.1989,7,6,2940,40284,SAT,0.3686,112.0,112.0,112.0,68.0,44.0,0.0,0.72,1.0,0.61,0.8,0.8,0.8,0.5,71.43,0.0,,7,6,2940,40284,SAT,0.3947,112,112,77,74,38,35,0.67,0.69,0.66,0.70,0.70,0.70,0.38095238095238093
openSSL_8_4,7727,8,4,6 states,20 symbols,153,15,6,76,0.1977,7,6,2940,40284,SAT,0.3642,112.0,112.0,49.0,89.0,23.0,63.0,0.68,0.44,0.79,0.5,0.6,0.6,0.4047619047619047,71.43,0.0,,7,6,2940,40284,SAT,0.3647,112,112,70,70,42,42,0.62,0.62,0.62,0.60,0.60,0.60,0.38095238095238093
openSSL_5_4,3796,5,4,6 states,20 symbols,153,15,6,76,0.1959,7,6,2940,40284,SAT,0.3712,112.0,112.0,57.0,95.0,17.0,55.0,0.77,0.51,0.85,0.6,0.7,0.7,0.4047619047619047,71.43,0.0,,7,6,2940,40284,SAT,0.3707,112,112,73,71,41,39,0.64,0.65,0.63,0.60,0.60,0.60,0.38095238095238093
openSSL_9_4,8768,9,4,6 states,20 symbols,153,15,6,76,0.1952,7,6,2940,40284,SAT,0.3701,112.0,112.0,112.0,64.0,48.0,0.0,0.7,1.0,0.57,0.8,0.8,0.8,0.5,71.43,0.0,,7,6,2940,40284,SAT,0.5047,112,112,69,74,38,43,0.64,0.62,0.66,0.60,0.60,0.60,0.38095238095238093
